UPI Beneficiary Members - Top 50 Members (Apr'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr No.,UPI Beneficiary  banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,7312.77,0.9999,0.0001,0,0
2,Axis Bank Ltd.,1822.48,0.9995,0.0005,0,0.0001
3,State Bank of India,1767.09,0.9926,0.001,0.0064,0.0028
4,HDFC Bank Ltd.,857.29,0.9917,0.0081,0.0002,0.0012
5,ICICI Bank Ltd.,565.73,0.9964,0.0024,0.0012,0.0004
6,Bank of Baroda,474.07,0.999,0.0007,0.0003,0.0007
7,Union Bank of India,434.62,0.9943,0.001,0.0047,0.0015
8,Airtel Payments Bank Limited,414.65,0.9877,0.0097,0.0026,0.0012
9,Punjab National Bank,407.55,0.9928,0.0034,0.0039,0.0029
10,Canara Bank,404.64,0.9967,0.0014,0.0019,0.0006
11,Federal Bank Ltd.,386.02,0.9972,0.0019,0.0009,0
12,Kotak Mahindra Bank,345.82,0.9892,0.0104,0.0004,0.0004
13,Indian Bank,264.85,0.9959,0.0032,0.0008,0.0008
14,Bank Of India,243.98,0.9789,0.0114,0.0097,0.0031
15,India Post Payments Bank Limited,241.01,0.9774,0.0129,0.0098,0.0013
16,Indusind Bank Ltd.,177.35,0.9948,0.0033,0.002,0.0011
17,Indian Overseas Bank,140.85,0.9931,0.0056,0.0013,0.0022
18,Central Bank of India,117.91,0.9885,0.005,0.0065,0.0017
19,UCO Bank,105.71,0.99,0.0061,0.0039,0.0005
20,IDBI Bank Ltd.,98.27,0.9962,0.0025,0.0013,0.0006
21,Fino Payments Bank Ltd.,98,0.9603,0.0361,0.0037,0.001
22,Bank of Maharashtra,89.1,0.9944,0.0043,0.0013,0.0005
23,RBL Bank Ltd.,85.03,0.9977,0.0008,0.0015,0.0007
24,Karnataka Bank,68.1,0.981,0.0036,0.0154,0.0045
25,Unity Small Finance Bank Limited,56.73,0.9998,0.0001,0.0001,0.0003
26,One Mobikwik Systems Limited,51.12,0.9996,0,0.0004,0
27,The Jammu & Kashmir Bank Limited,51.05,0.9941,0.0037,0.0021,0.0054
28,Bandhan Bank limited,47.15,0.9866,0.0052,0.0083,0.0014
29,IDFC Bank Ltd.,45.76,0.9854,0.0137,0.001,0.0003
30,Tri O Tech Solutions Private Limited,45.31,0.9909,0.0091,0,0
31,NSDL Payments Bank Limited,45.21,0.9928,0.0035,0.0037,0.0034
32,Karur Vysya Bank,42.11,0.9945,0.0025,0.003,0.0008
33,The South Indian Bank Limited,40.6,0.9981,0.0016,0.0003,0.0002
34,Tamilnad Mercantile Bank Limited,37.32,0.9973,0.0008,0.0019,0.0013
35,AU Small Finance Bank,32.9,0.9922,0.0053,0.0025,0.0012
36,City Union Bank,30.69,0.9866,0.0101,0.0034,0.0005
37,JIO Payments Bank Ltd,28.39,0.9922,0.0048,0.0031,0.0017
38,Punjab and Sind Bank,25.15,0.9648,0.0256,0.0096,0.0011
39,Ujjivan Small Finance Bank Limited,24.91,0.9907,0.0024,0.0069,0.0042
40,Kerala Gramin Bank,23.54,0.9846,0.0023,0.0131,0.0044
41,Baroda U.P. Bank,20.22,0.9886,0.0026,0.0087,0.0036
42,Suryoday Small Finance Bank Limited,19.78,0.9843,0.0118,0.004,0.0026
43,Citi Bank,18.28,0.9949,0.0033,0.0017,0.0003
44,Telangana Grameena Bank,16.35,0.9883,0.0048,0.0069,0.0022
45,Karnataka Gramin Bank,15.41,0.9707,0.0024,0.0269,0.0108
46,Maharashtra Gramin Bank,14.94,0.9795,0.0011,0.0194,0.0014
47,Equitas Small Finance Bank,13.79,0.9744,0.0189,0.0066,0.0005
48,ESAF Small Finance Bank Ltd,13.73,0.9953,0.003,0.0017,0.0003
49,Andhra Pragathi Grameena Bank,13.36,0.9459,0.0065,0.0476,0.0041
50,Rajasthan Marudhara Gramin Bank,12.86,0.9674,0.0297,0.0029,0.0005
