UPI Beneficiary Members - Top 50 Members (Aug'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"6,021.00",99.99%,0.01%,0.00%,0.00%
2,State Bank Of India,"1,562.83",99.73%,0.11%,0.15%,0.03%
3,Axis bank Ltd.,"1,437.88",99.93%,0.07%,0.00%,0.01%
4,HDFC Bank Ltd.,729.74,99.09%,0.86%,0.05%,0.03%
5,ICICI Bank Ltd.,605.83,99.30%,0.64%,0.06%,0.02%
6,Bank of Baroda,430.60,99.55%,0.10%,0.35%,0.19%
7,Federal Bank Ltd.,411.62,99.75%,0.24%,0.01%,0.00%
8,Union Bank Of India,379.29,99.45%,0.11%,0.43%,0.09%
9,Canara Bank,364.14,98.59%,0.79%,0.62%,0.13%
10,Punjab national Bank,336.13,99.70%,0.29%,0.02%,0.07%
11,Kotak Mahindra Bank Ltd,292.43,99.62%,0.28%,0.10%,0.07%
12,Airtel Payments Bank Ltd,285.48,99.61%,0.30%,0.09%,0.03%
13,Indian Bank,235.76,99.00%,0.94%,0.07%,0.08%
14,Bank Of India,207.96,98.71%,0.84%,0.45%,0.17%
15,India Post Payments Bank Ltd,156.65,99.15%,0.30%,0.55%,0.04%
16,Indusind Bank Ltd.,146.14,99.30%,0.42%,0.28%,0.11%
17,Central Bank of India,109.19,96.05%,3.66%,0.28%,0.21%
18,Indian Overseas Bank,107.88,96.86%,1.84%,1.30%,0.55%
19,UCO Bank,90.38,99.31%,0.57%,0.12%,0.03%
20,Fino Payments Bank Ltd.,85.69,95.99%,3.57%,0.44%,0.06%
21,IDBI Bank Ltd.,70.75,99.54%,0.33%,0.13%,0.14%
22,Bank of Maharashtra,67.17,99.31%,0.34%,0.34%,0.07%
23,RBL Bank Ltd.,60.49,99.27%,0.42%,0.32%,0.19%
24,Karnataka Bank Ltd,52.41,99.26%,0.54%,0.19%,0.05%
25,Karur Vysya Bank,46.99,98.00%,1.23%,0.77%,0.27%
26,One Mobikwik Systems Pvt - Ltd,45.37,99.95%,0.03%,0.02%,0.00%
27,IDFC First Bank Ltd,39.12,98.68%,1.20%,0.12%,0.06%
28,South Indian Bank,38.46,99.08%,0.87%,0.04%,0.01%
29,Bandhan Bank Ltd.,38.00,98.56%,0.39%,1.04%,0.06%
30,Jammu and Kashmir Bank,37.39,99.23%,0.25%,0.53%,0.52%
31,AU small Finance Bank,36.23,98.80%,1.18%,0.02%,0.01%
32,Tamilnad Mercantile Bank,28.01,99.48%,0.09%,0.43%,0.08%
33,Tri O Tech Solutions Private Ltd.,27.57,96.28%,3.70%,0.02%,0.00%
34,City Union Bank,23.98,97.80%,1.70%,0.50%,0.01%
35,Ujjivan Small Finance Bank,22.97,98.91%,0.77%,0.32%,0.15%
36,Punjab and Sind Bank,20.54,98.57%,1.06%,0.37%,0.08%
37,KERALA GRAMIN BANK,18.28,97.28%,0.83%,1.89%,0.85%
38,CITI Bank,17.18,98.67%,1.22%,0.11%,0.04%
39,JIO PAYMENTS BANK LTD,14.70,98.20%,0.85%,0.94%,0.43%
40,Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank),13.94,94.83%,0.91%,4.26%,2.26%
41,Equitas Small Finance Bank Ltd,13.80,97.69%,1.97%,0.34%,0.04%
42,Andhra Pradesh Grameena Vikas Bank,12.97,98.64%,0.41%,0.95%,0.07%
43,Baroda Uttar Pradesh Gramin Bank,12.43,97.54%,0.33%,2.13%,0.60%
44,ESAF Small Finance Bank Ltd.,11.85,98.74%,1.06%,0.20%,0.04%
45,Maharashtra Gramin Bank,11.41,98.29%,0.28%,1.43%,0.17%
46,DBS Bank India Ltd.,10.91,98.65%,1.33%,0.02%,0.01%
47,Rajasthan Marudhara Gramin Bank,10.52,97.75%,0.51%,1.74%,0.23%
48,Andhra Pragathi Grameena Bank,8.91,98.06%,0.23%,1.71%,0.13%
49,SARVA HARYANA GRAMIN BANK,8.71,95.16%,0.36%,4.48%,0.39%
50,Cosmos Bank,8.61,97.57%,0.34%,2.09%,1.20%
