UPI Beneficiary Members - Top 50 Members (Dec'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"6,652.85",99.99%,0.01%,0.00%,0.00%
2,Axis Bank Ltd.,"1,702.85",99.84%,0.15%,0.01%,0.01%
3,State Bank of India,"1,701.49",99.49%,0.13%,0.38%,0.10%
4,HDFC Bank Ltd.,796.13,99.09%,0.85%,0.06%,0.04%
5,ICICI Bank Ltd.,627.57,99.60%,0.35%,0.05%,0.03%
6,Bank of Baroda,454.56,99.89%,0.06%,0.05%,0.07%
7,Canara Bank,449.07,99.17%,0.32%,0.51%,0.21%
8,Union Bank of India,427.07,99.85%,0.10%,0.05%,0.04%
9,Federal Bank Ltd.,409.53,99.82%,0.15%,0.03%,0.00%
10,Punjab National Bank,383.19,99.31%,0.31%,0.38%,0.36%
11,Airtel Payments Bank Limited,370.89,99.25%,0.46%,0.29%,0.04%
12,Kotak Mahindra Bank,325.18,98.82%,1.17%,0.01%,0.01%
13,Indian Bank,240.43,99.46%,0.42%,0.12%,0.12%
14,Bank Of India,233.85,99.14%,0.79%,0.07%,0.04%
15,India Post Payment Bank,201.40,96.06%,0.92%,3.01%,0.39%
16,Indusind Bank Ltd.,158.75,99.60%,0.30%,0.10%,0.05%
17,Indian Overseas Bank,131.63,99.12%,0.59%,0.29%,0.33%
18,Central Bank of India,112.58,99.39%,0.48%,0.13%,0.12%
19,Fino Payments Bank Ltd.,108.05,97.53%,2.41%,0.06%,0.02%
20,Bank of Maharashtra,100.67,99.33%,0.31%,0.37%,0.14%
21,UCO Bank,100.39,99.53%,0.41%,0.05%,0.02%
22,IDBI Bank Ltd.,80.48,99.56%,0.26%,0.18%,0.09%
23,RBL Bank Ltd.,64.54,99.61%,0.27%,0.13%,0.09%
24,Karnataka Bank,63.01,99.22%,0.67%,0.11%,0.01%
25,One Mobikwik Systems Limited,47.10,99.98%,0.01%,0.01%,0.00%
26,Bandhan Bank limited,45.22,97.37%,0.21%,2.41%,0.58%
27,The Jammu & Kashmir Bank Limited,44.08,98.29%,0.46%,1.25%,0.56%
28,IDFC Bank Ltd.,43.59,99.14%,0.81%,0.05%,0.01%
29,The South Indian Bank Limited,42.13,99.84%,0.11%,0.05%,0.01%
30,Karur Vysya Bank,40.67,99.26%,0.38%,0.36%,0.03%
31,Tri O Tech Solutions Private Limited,36.48,95.97%,4.02%,0.00%,0.00%
32,AU Small Finance Bank,35.71,99.01%,0.74%,0.26%,0.09%
33,Tamilnad Mercantile Bank Limited,32.23,99.70%,0.08%,0.22%,0.11%
34,City Union Bank,27.19,99.46%,0.44%,0.11%,0.00%
35,Ujjivan Small Finance Bank,24.91,99.33%,0.22%,0.45%,0.33%
36,Jio Payments Bank,24.55,99.12%,0.63%,0.25%,0.15%
37,Punjab and Sind Bank,23.93,97.65%,2.14%,0.21%,0.03%
38,Kerala Gramin Bank,23.08,95.51%,0.95%,3.54%,1.44%
39,CITI Bank,19.75,99.49%,0.42%,0.09%,0.05%
40,Baroda U.P. Bank,16.63,98.84%,0.32%,0.84%,0.22%
41,Karnataka Gramin Bank,15.17,96.52%,0.74%,2.74%,1.28%
42,Equitas Bank,14.75,96.50%,3.07%,0.42%,0.03%
43,Andhra Pradesh Grameena Vikas Bank,14.14,93.69%,0.30%,6.01%,0.30%
44,ESAF Small Finance Bank Ltd.,13.83,99.77%,0.18%,0.05%,0.01%
45,Maharashtra Gramin Bank,13.00,97.09%,0.25%,2.66%,0.25%
46,Rajasthan Marudhara Gramin Bank,12.41,99.01%,0.31%,0.68%,0.27%
47,Andhra Pragathi Grameena Bank,11.85,92.80%,0.42%,6.78%,0.12%
48,NSDL Payments Bank Limited,11.85,97.96%,1.18%,0.86%,0.33%
49,Suryodaya Small Finance Bank Limited,11.30,97.38%,1.89%,0.73%,0.47%
50,DBS Bank India Limited,11.28,98.75%,1.16%,0.09%,0.04%
