UPI Beneficiary Members - Top 50 Members (Feb'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Paytm Payments Bank,"2,543.04",99.90%,0.08%,0.02%,0.00%
2,Yes Bank Ltd,"2,408.99",99.95%,0.03%,0.01%,0.00%
3,State Bank Of India,"1,350.11",98.92%,0.14%,0.93%,0.09%
4,Axis Bank Ltd.,"1,029.01",99.91%,0.08%,0.01%,0.02%
5,ICICI Bank,620.78,99.21%,0.67%,0.12%,0.10%
6,HDFC BANK LTD,553.52,98.17%,1.46%,0.37%,0.14%
7,Bank of Baroda,336.67,99.14%,0.32%,0.54%,0.52%
8,Union Bank of India,322.91,98.90%,0.13%,0.97%,0.43%
9,Federal Bank,316.08,99.47%,0.32%,0.21%,0.02%
10,Punjab National Bank,278.27,99.57%,0.33%,0.11%,0.12%
11,Canara Bank,272.27,98.49%,1.23%,0.29%,0.17%
12,Kotak Mahindra Bank,242.32,98.58%,0.40%,1.01%,0.53%
13,Airtel Payments Bank,200.32,99.35%,0.33%,0.32%,0.03%
14,Indian Bank,197.87,98.92%,0.88%,0.20%,0.04%
15,Bank of India,180.38,99.11%,0.23%,0.66%,0.18%
16,INDUSIND BANK,134.71,99.25%,0.31%,0.44%,0.21%
17,India Post Payment Bank,119.59,97.46%,0.38%,2.16%,0.26%
18,Central Bank Of India,84.86,94.84%,0.45%,4.71%,1.23%
19,Indian Overseas Bank,78.84,98.46%,0.47%,1.07%,0.45%
20,UCO Bank,74.07,99.21%,0.70%,0.08%,0.04%
21,IDBI Bank Limited,60.85,93.78%,0.54%,5.67%,0.93%
22,Bank of Maharashtra,54.57,96.19%,0.21%,3.60%,0.32%
23,RBL bank,52.57,94.24%,0.42%,5.34%,0.49%
24,Fino Payments Bank Limited,48.84,98.31%,1.31%,0.38%,0.15%
25,Karnataka Bank,41.82,98.27%,1.00%,0.73%,0.04%
26,IDFC FIRST Bank,35.13,98.05%,1.85%,0.10%,0.04%
27,Karur Vysya Bank,31.92,98.60%,1.16%,0.23%,0.06%
28,South Indian Bank,29.77,97.88%,2.10%,0.02%,0.01%
29,Bandhan Bank,29.22,96.68%,0.23%,3.09%,0.23%
30,AU small Finance Bank,26.60,96.28%,3.33%,0.39%,0.10%
31,Tamilnad Mercantile Bank,21.42,99.35%,0.17%,0.48%,0.04%
32,Jammu and Kashmir Bank,20.34,99.07%,0.45%,0.48%,0.46%
33,Ujjivan Small Finance Bank,19.51,98.59%,1.02%,0.39%,0.25%
34,City Union Bank,19.30,97.55%,2.13%,0.32%,0.02%
35,Tri O Tech Solutions Private Limited,18.51,96.17%,3.80%,0.03%,0.01%
36,ONE MOBIKWIK SYSTEMS LIMITED,15.24,99.99%,0.00%,0.01%,0.00%
37,Punjab and Sind Bank,14.14,96.07%,1.14%,2.79%,0.61%
38,Kerala Gramin Bank,14.01,97.80%,0.25%,1.96%,0.97%
39,Equitas Bank,13.15,97.90%,1.85%,0.25%,0.01%
40,Andhra Pradesh Grameena Vikas Bank,12.36,98.38%,1.23%,0.40%,0.14%
41,DBS Bank India Limited,12.03,98.53%,1.21%,0.26%,0.12%
42,Pragathi Krishna Gramin Bank,11.61,97.30%,0.61%,2.09%,1.18%
43,Jio Payments Bank,11.33,99.39%,0.26%,0.36%,0.27%
44,CITI Bank,10.68,99.84%,0.00%,0.16%,0.24%
45,Maharashtra Gramin Bank,10.56,98.15%,0.32%,1.53%,0.17%
46,Rajasthan Marudhara Gramin Bank,10.31,98.04%,0.40%,1.55%,0.13%
47,ESAF Small Finance Bank Ltd.,10.16,97.11%,0.11%,2.78%,0.38%
48,Baroda UP Gramin Bank,9.18,92.84%,0.82%,6.34%,1.71%
49,Fincare Small Finance Bank Ltd,8.55,96.27%,3.29%,0.44%,0.09%
50,Andhra Pragathi Grameena Bank,8.07,98.57%,0.45%,0.98%,0.04%
