UPI Beneficiary Members - Top 50 Members (Jan'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,6412.99,0.9999,0.0001,0,0
2,Axis Bank Ltd.,1662.94,0.9984,0.0015,0.0001,0.0001
3,State Bank of India,1627.18,0.9968,0.001,0.0022,0.0007
4,HDFC Bank Ltd.,774.5,0.9924,0.0072,0.0005,0.0003
5,ICICI Bank Ltd.,561.55,0.9966,0.0027,0.0007,0.0003
6,Bank of Baroda,434.99,0.9991,0.0006,0.0003,0.0004
7,Canara Bank,423.99,0.9933,0.0034,0.0033,0.0012
8,Union Bank of India,405.83,0.9977,0.0011,0.0013,0.0006
9,Federal Bank Ltd.,374.29,0.9982,0.0015,0.0003,0
10,Punjab National Bank,368.35,0.996,0.0036,0.0004,0.0003
11,Airtel Payments Bank Limited,334.99,0.9847,0.0082,0.0072,0.0018
12,Kotak Mahindra Bank,313.8,0.9888,0.0104,0.0008,0.0006
13,Indian Bank,235.01,0.9968,0.0028,0.0004,0.0002
14,Bank Of India,225.76,0.984,0.0083,0.0078,0.0028
15,India Post Payments Bank Ltd.,210.46,0.9874,0.0082,0.0044,0.0022
16,Indusind Bank Ltd.,157.73,0.9928,0.003,0.0042,0.0023
17,Indian Overseas Bank,128.46,0.9941,0.0048,0.0011,0.0008
18,Central Bank of India,108.51,0.9921,0.0057,0.0022,0.001
19,Fino Payments Bank Ltd.,98.36,0.9719,0.0268,0.0013,0.0004
20,UCO Bank,96.02,0.9913,0.0053,0.0034,0.0005
21,IDBI Bank Ltd.,81.03,0.9945,0.0026,0.0029,0.0007
22,Bank of Maharashtra,78.86,0.9938,0.0022,0.004,0.0022
23,RBL Bank Ltd.,73.78,0.9952,0.0011,0.0038,0.0019
24,Karnataka Bank,59.83,0.9887,0.0058,0.0054,0.0013
25,One Mobikwik Systems Limited,46.1,0.9995,0,0.0004,0
26,Bandhan Bank limited,43.29,0.9841,0.0021,0.0138,0.0016
27,IDFC Bank Ltd.,42.15,0.9896,0.0101,0.0003,0.0001
28,The Jammu & Kashmir Bank Limited,41.94,0.9867,0.0045,0.0088,0.005
29,The South Indian Bank Limited,39.59,0.992,0.0013,0.0067,0.0002
30,Karur Vysya Bank,39.03,0.9937,0.003,0.0033,0.0006
31,Tri O Tech Solutions Private Limited,37.15,0.966,0.0339,0,0
32,NSDL Payments Bank Limited,34.48,0.9669,0.0084,0.0247,0.0099
33,Tamilnad Mercantile Bank Limited,31.84,0.9952,0.0008,0.004,0.0009
34,AU Small Finance Bank,30.92,0.9915,0.0048,0.0037,0.0009
35,City Union Bank,27.02,0.9941,0.0044,0.0015,0.0001
36,JIO Payments Bank Ltd,24.04,0.9887,0.0073,0.0039,0.0019
37,Ujjivan Small Finance Bank Limited,23.56,0.996,0.0023,0.0017,0.0017
38,Punjab and Sind Bank,23.29,0.974,0.02,0.006,0.0014
39,Kerala Gramin Bank,21.85,0.9937,0.002,0.0043,0.0023
40,Unity Small Finance Bank Limited,20.19,0.9989,0.0003,0.0008,0.0003
41,Citi Bank,18.14,0.9946,0.0036,0.0018,0.0009
42,Baroda U.P. Bank,17.91,0.986,0.0024,0.0116,0.0042
43,Suryoday Small Finance Bank Limited,17.22,0.9785,0.0101,0.0113,0.0059
44,Telangana Grameena Bank,14.25,0.9713,0.009,0.0196,0.0105
45,Karnataka Gramin Bank,14.19,0.9898,0.0015,0.0087,0.0042
46,Equitas Small Finance Bank,13.37,0.9713,0.0208,0.0079,0.0014
47,ESAF Small Finance Bank Ltd,13.3,0.9908,0.0018,0.0074,0.0022
48,Maharashtra Gramin Bank,13.25,0.9797,0.0033,0.017,0.0024
49,Rajasthan Marudhara Gramin Bank,12.35,0.9508,0.0132,0.036,0.0116
50,Andhra Pragathi Grameena Bank,11.26,0.9778,0.0037,0.0185,0.0001
