UPI Beneficiary Members - Top 50 Members (Jan'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,6739.84,0.9999,0.0001,0,0
2,Axis Bank Ltd.,1730.16,0.999,0.001,0,0.0001
3,State Bank of India,1713.51,0.9956,0.0013,0.0031,0.0031
4,HDFC Bank Ltd.,807.76,0.992,0.0075,0.0004,0.0004
5,ICICI Bank Ltd.,624.34,0.9955,0.0037,0.0008,0.0003
6,Bank of Baroda,464.01,0.9979,0.0006,0.0014,0.0013
7,Canara Bank,462.95,0.9939,0.0041,0.002,0.0015
8,Union Bank of India,428.05,0.9948,0.001,0.0042,0.0018
9,Federal Bank Ltd.,403.79,0.9981,0.0015,0.0003,0
10,Airtel Payments Bank Limited,394.02,0.9861,0.0047,0.0093,0.0009
11,Punjab National Bank,389.95,0.9954,0.004,0.0006,0.0006
12,Kotak Mahindra Bank,331.14,0.9883,0.0111,0.0006,0.0003
13,Indian Bank,244.02,0.997,0.0025,0.0005,0.0003
14,Bank Of India,240.7,0.9888,0.0087,0.0025,0.0013
15,India Post Payments Bank Ltd.,212.25,0.9844,0.0086,0.007,0.0051
16,Indusind Bank Ltd.,163.47,0.9961,0.003,0.0008,0.0005
17,Indian Overseas Bank,137.06,0.993,0.0058,0.0011,0.0018
18,Central Bank of India,114.31,0.9869,0.0054,0.0077,0.0034
19,Fino Payments Bank Ltd.,111.51,0.9839,0.0151,0.001,0.0003
20,UCO Bank,101.81,0.9939,0.0048,0.0013,0.0003
21,Bank of Maharashtra,87.68,0.9966,0.0023,0.0011,0.0003
22,IDBI Bank Ltd.,82.81,0.9962,0.0026,0.0012,0.0007
23,RBL Bank Ltd.,76.23,0.9947,0.0023,0.003,0.0018
24,Karnataka Bank,64.93,0.992,0.0071,0.0009,0.0005
25,One Mobikwik Systems Limited,47.73,0.9998,0.0001,0.0001,0
26,Bandhan Bank limited,45.82,0.9763,0.0022,0.0215,0.0011
27,IDFC Bank Ltd.,44.02,0.9894,0.0103,0.0003,0.0001
28,The Jammu & Kashmir Bank Limited,43.36,0.9937,0.0056,0.0007,0.0012
29,The South Indian Bank Limited,42.61,0.9976,0.001,0.0014,0.0003
30,Karur Vysya Bank,40.43,0.9955,0.0023,0.0022,0.0007
31,Tri O Tech Solutions Private Limited,38.46,0.9619,0.0372,0.0009,0.0004
32,AU Small Finance Bank,33.08,0.9879,0.0045,0.0076,0.0026
33,Tamilnad Mercantile Bank Limited,32.69,0.9977,0.0008,0.0015,0.0003
34,City Union Bank,27.07,0.9939,0.005,0.0011,0.0001
35,Ujjivan Small Finance Bank Limited,25.12,0.9948,0.0028,0.0024,0.0021
36,Punjab and Sind Bank,24.91,0.9721,0.0254,0.0025,0.0005
37,JIO Payments Bank Ltd,24.79,0.9866,0.0099,0.0035,0.002
38,Kerala Gramin Bank,22.91,0.9865,0.007,0.0064,0.0041
39,NSDL Payments Bank Limited,21.12,0.9236,0.0375,0.0389,0.0047
40,Citi Bank,20.11,0.9953,0.0037,0.001,0.0006
41,Suryoday Small Finance Bank Limited,18.64,0.9787,0.0111,0.0102,0.0051
42,Baroda U.P. Bank,17.85,0.976,0.0028,0.0213,0.0072
43,Karnataka Gramin Bank,15.31,0.9643,0.0041,0.0315,0.0103
44,Equitas Small Finance Bank,14.64,0.9636,0.0353,0.0011,0.0005
45,ESAF Small Finance Bank Ltd,14.11,0.9959,0.002,0.0022,0.0001
46,Maharashtra Gramin Bank,13.84,0.9868,0.0019,0.0112,0.0013
47,Rajasthan Marudhara Gramin Bank,13.16,0.9599,0.0069,0.0331,0.0098
48,Telangana Grameena Bank,11.82,0.9555,0.0071,0.0374,0.0097
49,Andhra Pragathi Grameena Bank,11.77,0.927,0.0022,0.0707,0.0116
50,Unity Small Finance Bank Limited,11.67,0.9966,0.0011,0.0023,0.0016
