UPI Beneficiary Members - Top 50 Members (Jul'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"5,731.24",99.93%,0.01%,0.06%,0.01%
2,State Bank Of India,"1,591.84",99.66%,0.11%,0.23%,0.04%
3,Axis bank Ltd.,"1,364.34",99.91%,0.09%,0.00%,0.01%
4,HDFC Bank Ltd.,690.05,98.78%,0.98%,0.23%,0.03%
5,ICICI Bank Ltd.,604.23,99.40%,0.51%,0.09%,0.03%
6,Bank of Baroda,455.61,99.44%,0.09%,0.47%,0.47%
7,Federal Bank Ltd.,396.82,99.66%,0.25%,0.09%,0.00%
8,Union Bank Of India,368.24,99.59%,0.12%,0.29%,0.08%
9,Punjab national Bank,334.33,99.53%,0.30%,0.18%,0.23%
10,Canara Bank,326.46,98.95%,0.83%,0.21%,0.17%
11,Kotak Mahindra Bank Ltd,284.52,99.33%,0.31%,0.36%,0.18%
12,Airtel Payments Bank Ltd,267.22,99.25%,0.34%,0.41%,0.05%
13,Indian Bank,247.02,99.12%,0.74%,0.13%,0.16%
14,Bank Of India,212.52,98.47%,0.71%,0.82%,0.56%
15,India Post Payments Bank Ltd,145.20,98.01%,0.28%,1.71%,0.18%
16,Indusind Bank Ltd.,131.62,99.35%,0.43%,0.22%,0.04%
17,Indian Overseas Bank,102.09,98.59%,1.13%,0.28%,0.23%
18,Central Bank of India,100.29,97.86%,1.86%,0.28%,0.12%
19,UCO Bank,90.28,98.56%,0.73%,0.71%,0.19%
20,Fino Payments Bank Ltd.,76.94,96.50%,3.07%,0.43%,0.04%
21,IDBI Bank Ltd.,69.43,99.22%,0.35%,0.43%,0.16%
22,Bank of Maharashtra,64.74,98.40%,0.39%,1.21%,0.32%
23,RBL Bank Ltd.,51.19,98.83%,0.58%,0.59%,0.15%
24,Karnataka Bank Ltd,50.14,98.72%,0.86%,0.41%,0.08%
25,One Mobikwik Systems Pvt - Ltd,40.24,99.90%,0.03%,0.07%,0.00%
26,Karur Vysya Bank,39.80,98.72%,1.05%,0.24%,0.08%
27,IDFC First Bank Ltd,38.86,98.58%,1.28%,0.14%,0.05%
28,Bandhan Bank Ltd.,37.36,98.39%,0.36%,1.25%,0.03%
29,Jammu and Kashmir Bank,36.14,96.47%,0.28%,3.25%,0.50%
30,South Indian Bank,35.99,98.76%,0.96%,0.27%,0.06%
31,AU small Finance Bank,27.37,99.10%,0.82%,0.08%,0.03%
32,Tamilnad Mercantile Bank,27.15,99.27%,0.10%,0.63%,0.15%
33,Tri O Tech Solutions Private Ltd.,25.53,96.21%,3.75%,0.03%,0.00%
34,City Union Bank,22.90,98.08%,1.61%,0.31%,0.05%
35,Ujjivan Small Finance Bank,22.88,98.57%,0.70%,0.74%,0.29%
36,Punjab and Sind Bank,18.60,99.20%,0.25%,0.55%,0.09%
37,CITI Bank,17.74,97.85%,1.49%,0.66%,0.13%
38,KERALA GRAMIN BANK,17.02,97.75%,0.85%,1.39%,0.57%
39,Cosmos Bank,15.36,98.92%,0.16%,0.92%,0.09%
40,Equitas Small Finance Bank Ltd,14.09,97.83%,1.65%,0.52%,0.08%
41,Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank),13.72,97.20%,0.91%,1.89%,1.07%
42,Andhra Pradesh Grameena Vikas Bank,13.16,95.15%,0.70%,4.14%,0.10%
43,Maharashtra Gramin Bank,12.26,85.13%,0.18%,14.68%,0.49%
44,Baroda Uttar Pradesh Gramin Bank,11.74,94.84%,0.30%,4.86%,1.72%
45,JIO PAYMENTS BANK LTD,11.60,98.37%,0.83%,0.80%,0.23%
46,Rajasthan Marudhara Gramin Bank,11.60,87.43%,0.42%,12.15%,0.69%
47,ESAF Small Finance Bank Ltd.,11.35,98.70%,1.06%,0.25%,0.15%
48,DBS Bank India Ltd.,10.79,98.42%,1.33%,0.24%,0.01%
49,Andhra Pragathi Grameena Bank,9.58,87.24%,0.39%,12.37%,0.08%
50,Fincare Small Finance Bank Ltd,9.16,95.02%,4.32%,0.65%,0.02%
