UPI Beneficiary Members - Top 50 Members (Dec'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1.0,Yes Bank Ltd.,7934.54,0.9999,0.0001,0.0,0.0
2.0,State Bank of India,1965.84,0.9951,0.001,0.0039,0.001
3.0,Axis Bank Ltd.,1946.32,0.9974,0.0025,0.0002,0.0001
4.0,HDFC Bank Ltd.,992.01,0.9948,0.0045,0.0007,0.0002
5.0,ICICI Bank Ltd.,610.63,0.9965,0.0029,0.0006,0.0002
6.0,Bank of Baroda,508.22,0.9943,0.0029,0.0028,0.001
7.0,Union Bank of India,459.07,0.9976,0.001,0.0014,0.0007
8.0,Airtel Payments Bank Limited,457.82,0.988,0.0102,0.0018,0.0003
9.0,Canara Bank,438.17,0.9958,0.0012,0.003,0.001
10.0,Punjab National Bank,436.07,0.9912,0.0071,0.0016,0.0018
11.0,Federal Bank Ltd.,369.84,0.9975,0.0022,0.0002,0.0
12.0,Kotak Mahindra Bank,361.38,0.9887,0.0107,0.0006,0.0004
13.0,Indian Bank,284.6,0.9933,0.0024,0.0043,0.0004
14.0,India Post Payments Bank Limited,282.13,0.9874,0.0113,0.0013,0.0006
15.0,Bank Of India,258.79,0.9707,0.0079,0.0215,0.0037
16.0,Indusind Bank Ltd.,179.93,0.9955,0.0034,0.0011,0.0005
17.0,Indian Overseas Bank,144.42,0.9824,0.0103,0.0073,0.0043
18.0,Central Bank of India,132.56,0.9884,0.0064,0.0052,0.0019
19.0,UCO Bank,115.41,0.9948,0.0034,0.0018,0.0003
20.0,Unity Small Finance Bank Limited,113.19,0.9997,0.0,0.0003,0.0001
21.0,Fino Payments Bank Ltd.,101.01,0.9825,0.0127,0.0048,0.0002
22.0,RBL Bank Ltd.,91.97,0.9973,0.0007,0.0021,0.0009
23.0,IDBI Bank Ltd.,87.99,0.995,0.0034,0.0016,0.0008
24.0,Bank of Maharashtra,82.78,0.9958,0.0023,0.0019,0.0004
25.0,Karnataka Bank,62.4,0.9895,0.0027,0.0079,0.001
26.0,Tri O Tech Solutions Private Limited,57.3,0.9857,0.0105,0.0038,0.0019
27.0,The Jammu & Kashmir Bank Limited,56.5,0.9755,0.0042,0.0203,0.0141
28.0,NSDL Payments Bank Limited,55.1,0.99,0.0075,0.0025,0.0007
29.0,One Mobikwik Systems Limited,53.86,0.9992,0.0,0.0008,0.0
30.0,IDFC Bank Ltd.,52.03,0.9901,0.008,0.0019,0.0005
31.0,Bandhan Bank limited,51.16,0.9854,0.0038,0.0108,0.0012
32.0,Karur Vysya Bank,45.38,0.9906,0.0026,0.0068,0.0014
33.0,JIO Payments Bank Ltd,45.16,0.9836,0.0098,0.0066,0.0027
34.0,The South Indian Bank Limited,44.96,0.9979,0.0012,0.001,0.0001
35.0,Tamilnad Mercantile Bank Limited,37.23,0.9819,0.0063,0.0118,0.0013
36.0,Suryoday Small Finance Bank Limited,34.9,0.987,0.0072,0.0058,0.0024
37.0,AU Small Finance Bank,34.22,0.9893,0.0047,0.0059,0.0009
38.0,City Union Bank,31.46,0.9945,0.0039,0.0016,0.0001
39.0,Kerala Gramin Bank,28.55,0.9875,0.004,0.0085,0.0064
40.0,Ujjivan Small Finance Bank Limited,26.06,0.9889,0.0029,0.0081,0.0025
41.0,Punjab and Sind Bank,25.51,0.9797,0.0112,0.0091,0.0018
42.0,Baroda U.P. Bank,22.44,0.986,0.0024,0.0116,0.0027
43.0,Citi Bank,21.97,0.9975,0.0021,0.0003,0.0003
44.0,Telangana Grameena Bank,17.85,0.9909,0.0033,0.0058,0.0013
45.0,Karnataka Gramin Bank,16.21,0.9915,0.0036,0.0049,0.0028
46.0,Maharashtra Gramin Bank,15.56,0.9751,0.0026,0.0223,0.0009
47.0,ESAF Small Finance Bank Ltd,15.19,0.996,0.0032,0.0008,0.0002
48.0,Equitas Small Finance Bank,14.56,0.9792,0.0202,0.0007,0.0
49.0,Andhra Pragathi Grameena Bank,14.2,0.9632,0.0112,0.0255,0.0032
50.0,Rajasthan Marudhara Gramin Bank,14.07,0.9648,0.0148,0.0204,0.0025
