UPI Beneficiary Members - Top 50 Members (Jun'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1.0,Yes Bank Ltd.,7527.12,0.9999,0.0001,0.0,0.0
2.0,Axis Bank Ltd.,1842.48,0.9947,0.001,0.0043,0.0014
3.0,State Bank of India,1829.69,0.9971,0.0009,0.002,0.0015
4.0,HDFC Bank Ltd.,925.31,0.9936,0.0052,0.0012,0.0002
5.0,ICICI Bank Ltd.,587.6,0.9962,0.0035,0.0003,0.0001
6.0,Bank of Baroda,476.64,0.9952,0.0045,0.0003,0.0003
7.0,Union Bank of India,440.68,0.9985,0.001,0.0005,0.0005
8.0,Airtel Payments Bank Limited,437.39,0.9889,0.009,0.0021,0.0005
9.0,Punjab National Bank,419.47,0.9968,0.0029,0.0003,0.0025
10.0,Canara Bank,413.06,0.996,0.0013,0.0028,0.0011
11.0,Federal Bank Ltd.,369.76,0.9976,0.0021,0.0003,0.0001
12.0,Kotak Mahindra Bank,338.36,0.9886,0.0111,0.0004,0.0002
13.0,Indian Bank,269.49,0.9966,0.002,0.0014,0.0005
14.0,India Post Payments Bank Limited,259.53,0.9865,0.0108,0.0027,0.0006
15.0,Bank Of India,245.22,0.9779,0.0095,0.0127,0.0048
16.0,Indusind Bank Ltd.,164.6,0.9894,0.0035,0.0071,0.0032
17.0,Indian Overseas Bank,145.41,0.9921,0.0054,0.0025,0.0018
18.0,Central Bank of India,122.5,0.9911,0.0069,0.0019,0.0014
19.0,UCO Bank,108.71,0.9899,0.0038,0.0063,0.0009
20.0,Fino Payments Bank Ltd.,95.0,0.9797,0.0143,0.006,0.0006
21.0,IDBI Bank Ltd.,92.12,0.9952,0.0026,0.0022,0.0006
22.0,Unity Small Finance Bank Limited,90.73,0.9999,0.0,0.0,0.0
23.0,Bank of Maharashtra,79.48,0.9972,0.0024,0.0005,0.0001
24.0,RBL Bank Ltd.,76.22,0.9983,0.0006,0.0011,0.0009
25.0,Karnataka Bank,70.21,0.9931,0.0035,0.0034,0.0005
26.0,The Jammu & Kashmir Bank Limited,57.68,0.9916,0.0065,0.0019,0.0028
27.0,Tri O Tech Solutions Private Limited,52.11,0.9851,0.0091,0.0058,0.0027
28.0,One Mobikwik Systems Limited,50.43,0.9982,0.0,0.0018,0.0001
29.0,NSDL Payments Bank Limited,49.27,0.9904,0.0083,0.0013,0.0006
30.0,Bandhan Bank limited,48.61,0.9909,0.0038,0.0053,0.0006
31.0,IDFC Bank Ltd.,46.99,0.9897,0.0087,0.0016,0.0004
32.0,Karur Vysya Bank,43.07,0.9969,0.0022,0.0009,0.0001
33.0,The South Indian Bank Limited,42.13,0.9979,0.0012,0.0009,0.0002
34.0,Tamilnad Mercantile Bank Limited,35.79,0.9945,0.0041,0.0014,0.0001
35.0,JIO Payments Bank Ltd,35.29,0.987,0.0082,0.0048,0.0013
36.0,AU Small Finance Bank,32.26,0.9941,0.0057,0.0002,0.0003
37.0,City Union Bank,29.81,0.9935,0.0037,0.0027,0.0001
38.0,Kerala Gramin Bank,25.46,0.9892,0.003,0.0078,0.0063
39.0,Ujjivan Small Finance Bank Limited,25.02,0.9954,0.0022,0.0024,0.0016
40.0,Punjab and Sind Bank,24.81,0.9711,0.0191,0.0098,0.0018
41.0,Suryoday Small Finance Bank Limited,23.83,0.9881,0.0103,0.0016,0.001
42.0,Baroda U.P. Bank,21.16,0.99,0.0023,0.0077,0.0023
43.0,Citi Bank,20.77,0.9963,0.0035,0.0002,0.0004
44.0,Telangana Grameena Bank,17.75,0.9904,0.005,0.0046,0.0014
45.0,Karnataka Gramin Bank,15.53,0.978,0.0054,0.0166,0.0063
46.0,Maharashtra Gramin Bank,14.58,0.9704,0.0012,0.0284,0.0009
47.0,ESAF Small Finance Bank Ltd,14.24,0.9963,0.0027,0.001,0.0002
48.0,Andhra Pragathi Grameena Bank,13.91,0.9243,0.0111,0.0646,0.0015
49.0,Equitas Small Finance Bank,13.46,0.98,0.0187,0.0012,0.0
50.0,Rajasthan Marudhara Gramin Bank,13.03,0.9816,0.0153,0.0031,0.0008
