UPI Beneficiary Members - Top 50 Members (June'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,9375.26,99.99%,0.00%,0.00%,0.00%
2,Axis Bank Ltd.,2384.43,99.88%,0.12%,0.00%,0.00%
3,State Bank of India,2245.46,99.59%,0.19%,0.22%,0.09%
4,HDFC Bank Ltd.,1081.79,99.76%,0.23%,0.01%,0.00%
5,Bank of Baroda,615.44,99.00%,0.48%,0.52%,0.05%
6,Punjab National Bank,561.06,98.37%,0.38%,1.25%,0.11%
7,Union Bank of India,543.66,99.73%,0.14%,0.13%,0.02%
8,Canara Bank,516.05,99.73%,0.20%,0.06%,0.01%
9,Airtel Payments Bank Limited,502.3,94.53%,5.40%,0.07%,0.03%
10,Kotak Mahindra Bank,459.42,99.29%,0.70%,0.01%,0.01%
11,ICICI Bank Ltd.,441.77,99.57%,0.40%,0.03%,0.01%
12,India Post Payments Bank Limited ,377.75,99.10%,0.78%,0.11%,0.02%
13,Federal Bank Ltd.,362.31,99.81%,0.18%,0.01%,0.00%
14,Indian Bank,310.22,99.38%,0.40%,0.22%,0.07%
15,Bank Of India,300.17,98.77%,0.96%,0.27%,0.04%
16,Unity Small Finance Bank Limited,232.38,99.97%,0.01%,0.02%,0.00%
17,Indusind Bank Ltd.,192.31,99.43%,0.54%,0.03%,0.03%
18,Central Bank of India,180.79,98.57%,0.65%,0.77%,0.35%
19,Indian Overseas Bank,178.92,98.77%,0.42%,0.81%,0.16%
20,UCO Bank,138.33,99.61%,0.31%,0.08%,0.01%
21,NSDL Payments Bank Limited,121.91,96.97%,2.53%,0.50%,0.11%
22,Bank of Maharashtra,89.35,98.54%,1.15%,0.31%,0.06%
23,IDBI Bank Ltd.,85.81,99.28%,0.54%,0.18%,0.01%
24,Tri O Tech Solutions Private Limited,85.17,99.30%,0.69%,0.01%,0.01%
25,Fino Payments Bank Ltd.,81.62,94.90%,4.54%,0.56%,0.04%
26,JIO PAYMENTS BANK LTD,79.95,97.71%,2.15%,0.14%,0.05%
27,The Jammu & Kashmir Bank Limited,67.57,99.13%,0.83%,0.04%,0.04%
28,Karnataka Bank,64.88,99.62%,0.28%,0.10%,0.00%
29,One Mobikwik Systems Limited,61.79,99.79%,0.01%,0.20%,0.02%
30,BANDHAN BANK LIMITED,58.67,99.59%,0.22%,0.19%,0.10%
31,Karur Vysya Bank,58.23,99.64%,0.15%,0.21%,0.06%
32,RBL Bank Ltd.,56.62,99.80%,0.09%,0.11%,0.03%
33,IDFC Bank Ltd.,55.83,98.74%,1.20%,0.06%,0.01%
34,The South Indian Bank Limited,51.37,99.81%,0.16%,0.03%,0.01%
35,Baroda U.P. Bank,48.71,96.92%,0.34%,2.74%,0.76%
36,Slice Small Finance Bank,41.67,92.51%,3.79%,3.70%,0.02%
37,Tamilnad Mercantile Bank Limited,41.63,98.04%,0.79%,1.18%,0.10%
38,AU small Finance Bank,39.82,99.30%,0.54%,0.16%,0.05%
39,KERALA GRAMIN BANK,33.43,99.18%,0.17%,0.65%,0.21%
40,City Union Bank,31.27,99.33%,0.39%,0.27%,0.03%
41,Punjab and Sind Bank,29.82,96.58%,0.50%,2.92%,0.37%
42,UJJIVAN SMALL FINANCE BANK LIMITED,29.34,99.60%,0.24%,0.15%,0.10%
43,Karnataka Gramin Bank,27.78,98.62%,0.38%,1.00%,0.50%
44,Rajasthan Marudhara Gramin Bank,27.76,99.01%,0.59%,0.40%,0.26%
45,CHAITANYA GODAVARI GRAMEENA BANK,24.25,99.36%,0.55%,0.09%,0.04%
46,TELANGANA GRAMEENA BANK,23.07,97.70%,0.25%,2.05%,0.78%
47,CITIBANK CORPORATE,21.5,99.06%,0.60%,0.34%,0.49%
48,Maharashtra Gramin Bank,18.4,98.08%,0.18%,1.75%,0.72%
49,ESAF SMALL FINANCE BANK LTD,17.1,98.28%,0.15%,1.57%,0.43%
50,JANA SMALL FINANCE BANK LTD,16.97,99.36%,0.26%,0.39%,0.09%
