UPI Beneficiary Members - Top 50 Members (Mar'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"9,194.26",99.99%,0.00%,0.00%,0.00%
2,Axis Bank Ltd.,"2,395.49",99.85%,0.15%,0.00%,0.01%
3,State Bank Of India,"2,278.68",99.74%,0.18%,0.07%,0.06%
4,Hdfc Bank Ltd.,"1,083.70",99.30%,0.69%,0.01%,0.00%
5,Bank Of Baroda,623.77,99.34%,0.58%,0.08%,0.05%
6,Union Bank Of India,547.72,99.60%,0.11%,0.28%,0.10%
7,Airtel Payments Bank Limited,541.84,94.31%,5.51%,0.18%,0.03%
8,Canara Bank,529.58,99.71%,0.17%,0.12%,0.03%
9,Punjab National Bank,526.72,99.64%,0.32%,0.03%,0.04%
10,Kotak Mahindra Bank,460.68,99.23%,0.61%,0.16%,0.02%
11,Icici Bank Ltd.,445.37,99.41%,0.39%,0.20%,0.05%
12,Federal Bank Ltd.,393.52,99.73%,0.18%,0.10%,0.00%
13,India Post Payments Bank Limited ,392.70,97.60%,2.16%,0.24%,0.08%
14,Indian Bank,337.21,99.83%,0.11%,0.06%,0.02%
15,Bank Of India,305.48,98.21%,1.24%,0.55%,0.05%
16,Indusind Bank Ltd.,190.51,99.59%,0.31%,0.10%,0.07%
17,Unity Small Finance Bank Limited,180.27,98.85%,0.05%,1.10%,0.20%
18,Central Bank Of India,177.66,98.73%,0.62%,0.65%,0.24%
19,Indian Overseas Bank,172.50,99.70%,0.28%,0.02%,0.01%
20,Uco Bank,137.84,99.46%,0.44%,0.11%,0.02%
21,Nsdl Payments Bank Limited,131.73,96.90%,2.62%,0.48%,0.16%
22,Jio Payments Bank Ltd,95.31,97.80%,2.04%,0.16%,0.05%
23,Bank Of Maharashtra,93.40,98.21%,1.47%,0.32%,0.04%
24,Idbi Bank Ltd.,88.75,98.49%,0.48%,1.03%,0.13%
25,Fino Payments Bank Ltd.,83.77,95.45%,4.35%,0.20%,0.06%
26,Tri O Tech Solutions Private Limited,77.31,97.67%,2.33%,0.00%,0.00%
27,Karnataka Bank,66.46,99.57%,0.26%,0.17%,0.03%
28,Bandhan Bank Limited,62.21,99.17%,0.22%,0.61%,0.24%
29,Idfc Bank Ltd.,59.09,98.57%,1.34%,0.08%,0.01%
30,The Jammu & Kashmir Bank Limited,57.86,98.96%,0.91%,0.14%,0.07%
31,One Mobikwik Systems Limited,57.43,99.63%,0.01%,0.37%,0.02%
32,Rbl Bank Ltd.,52.38,99.81%,0.10%,0.10%,0.03%
33,The South Indian Bank Limited,51.86,99.76%,0.20%,0.05%,0.01%
34,Karur Vysya Bank,51.71,99.69%,0.17%,0.13%,0.05%
35,Baroda U.P. Bank,45.83,93.21%,0.25%,6.55%,1.94%
36,Tamilnad Mercantile Bank Limited,41.72,98.54%,0.88%,0.58%,0.02%
37,Au Small Finance Bank,39.84,98.97%,0.97%,0.06%,0.02%
38,Suryoday Small Finance Bank Limited,39.12,97.64%,2.29%,0.07%,0.03%
39,Slice Small Finance Bank Limited,33.12,90.90%,8.65%,0.45%,0.11%
40,Kerala Gramin Bank,32.47,99.71%,0.16%,0.13%,0.08%
41,City Union Bank,31.92,97.96%,1.62%,0.42%,0.06%
42,Ujjivan Small Finance Bank Limited,29.71,99.69%,0.18%,0.12%,0.09%
43,Punjab And Sind Bank,29.59,99.04%,0.71%,0.25%,0.08%
44,Karnataka Gramin Bank,27.85,98.89%,0.33%,0.78%,0.29%
45,Rajasthan Marudhara Gramin Bank,26.15,99.45%,0.45%,0.10%,0.12%
46,Chaitanya Godavari Grameena Bank,23.60,98.75%,0.43%,0.82%,0.29%
47,Citibank Corporate,23.58,99.35%,0.56%,0.09%,0.07%
48,Telangana Grameena Bank,23.10,98.56%,0.20%,1.25%,0.22%
49,Maharashtra Gramin Bank,18.53,96.90%,0.26%,2.84%,0.67%
50,Esaf Small Finance Bank Ltd,17.13,99.29%,0.19%,0.52%,0.15%
