UPI Beneficiary Members - Top 50 Members (Apr'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr No.,UPI Beneficiary  banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,7569.54,0.9999,0.0001,0,0
2,Axis Bank Ltd.,1893.85,0.9995,0.0004,0,0.0001
3,State Bank of India,1851.45,0.9977,0.0009,0.0014,0.0004
4,HDFC Bank Ltd.,931.57,0.9941,0.0054,0.0005,0.0003
5,ICICI Bank Ltd.,602.95,0.9977,0.002,0.0003,0.0001
6,Bank of Baroda,488.55,0.9987,0.0006,0.0006,0.0006
7,Union Bank of India,451.96,0.999,0.0009,0.0002,0.0004
8,Punjab National Bank,428.8,0.9962,0.0025,0.0013,0.0013
9,Airtel Payments Bank Limited,423.33,0.9893,0.0085,0.0022,0.0012
10,Canara Bank,418.99,0.9981,0.0012,0.0007,0.0002
11,Federal Bank Ltd.,392.98,0.9979,0.0018,0.0003,0
12,Kotak Mahindra Bank,359.3,0.9894,0.0092,0.0014,0.0008
13,Indian Bank,274.77,0.9942,0.0027,0.0031,0.001
14,India Post Payments Bank Limited,257.72,0.9852,0.0101,0.0047,0.0005
15,Bank Of India,250.87,0.982,0.0094,0.0086,0.003
16,Indusind Bank Ltd.,176.4,0.9954,0.0028,0.0018,0.0011
17,Indian Overseas Bank,148.53,0.9942,0.0044,0.0014,0.0013
18,Central Bank of India,123.28,0.9908,0.0056,0.0037,0.0014
19,UCO Bank,110.33,0.9941,0.0042,0.0017,0.0002
20,RBL Bank Ltd.,101.36,0.9963,0.0005,0.0032,0.0026
21,Fino Payments Bank Ltd.,100.21,0.9822,0.0165,0.0013,0.0011
22,IDBI Bank Ltd.,96.22,0.994,0.0024,0.0037,0.0011
23,Bank of Maharashtra,86.07,0.9947,0.0042,0.0011,0.0008
24,Unity Small Finance Bank Limited,75.73,1,0,0,0
25,Karnataka Bank,74.49,0.9937,0.0031,0.0032,0.0005
26,The Jammu & Kashmir Bank Limited,53.93,0.9892,0.0071,0.0037,0.0027
27,One Mobikwik Systems Limited,52.33,0.9993,0,0.0007,0
28,NSDL Payments Bank Limited,50.9,0.9949,0.0038,0.0013,0.0003
29,Tri O Tech Solutions Private Limited,50.44,0.9903,0.0095,0.0002,0
30,Bandhan Bank limited,49.45,0.9937,0.0037,0.0026,0.0004
31,IDFC Bank Ltd.,46.74,0.9883,0.011,0.0007,0.0002
32,Karur Vysya Bank,43.15,0.9967,0.0022,0.0012,0.0003
33,The South Indian Bank Limited,42.94,0.9987,0.0012,0.0001,0
34,Tamilnad Mercantile Bank Limited,37.27,0.9961,0.0026,0.0014,0.0002
35,AU Small Finance Bank,33.4,0.993,0.0051,0.002,0.0002
36,JIO Payments Bank Ltd,31.76,0.9906,0.0058,0.0036,0.0015
37,City Union Bank,31.51,0.9942,0.0033,0.0025,0.0001
38,Punjab and Sind Bank,25.66,0.9776,0.0178,0.0046,0.0009
39,Ujjivan Small Finance Bank Limited,25.63,0.9968,0.0022,0.001,0.0012
40,Kerala Gramin Bank,25.62,0.9881,0.0051,0.0068,0.0053
41,Suryoday Small Finance Bank Limited,22.44,0.9871,0.011,0.0019,0.0022
42,Citi Bank,21.92,0.9966,0.0026,0.0008,0.0001
43,Baroda U.P. Bank,21.87,0.9849,0.0023,0.0128,0.0041
44,Telangana Grameena Bank,17.48,0.993,0.0041,0.003,0.0011
45,Karnataka Gramin Bank,15.71,0.99,0.0022,0.0078,0.0058
46,Maharashtra Gramin Bank,14.99,0.9861,0.0011,0.0128,0.0008
47,ESAF Small Finance Bank Ltd,14.55,0.9965,0.002,0.0015,0.0002
48,Equitas Small Finance Bank,14.22,0.9772,0.0184,0.0044,0
49,Andhra Pragathi Grameena Bank,13.58,0.9727,0.0074,0.0199,0.0032
50,Rajasthan Marudhara Gramin Bank,13.15,0.9789,0.0181,0.003,0.0015
