UPI Beneficiary Members - Top 50 Members (May'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"9,564.11",99.99%,0.00%,0.01%,0.00%
2,Axis Bank Ltd.,"2,458.89",99.88%,0.12%,0.00%,0.01%
3,State Bank Of India,"2,286.02",99.70%,0.15%,0.15%,0.06%
4,Hdfc Bank Ltd.,"1,091.04",99.57%,0.38%,0.05%,0.01%
5,Bank Of Baroda,631.12,99.39%,0.55%,0.07%,0.02%
6,Punjab National Bank,567.96,98.95%,0.30%,0.75%,0.08%
7,Union Bank Of India,555.52,99.85%,0.11%,0.04%,0.01%
8,Canara Bank,532.98,99.76%,0.16%,0.08%,0.02%
9,Airtel Payments Bank Limited,522.26,93.59%,6.17%,0.24%,0.13%
10,Kotak Mahindra Bank,467.20,99.39%,0.61%,0.00%,0.01%
11,Icici Bank Ltd.,448.60,99.62%,0.36%,0.01%,0.00%
12,Federal Bank Ltd.,388.37,99.79%,0.17%,0.04%,0.01%
13,India Post Payments Bank Limited ,384.69,98.85%,0.70%,0.44%,0.07%
14,Indian Bank,320.56,96.81%,2.70%,0.49%,0.14%
15,Bank Of India,307.10,98.88%,1.08%,0.04%,0.02%
16,Unity Small Finance Bank Limited,221.57,99.61%,0.01%,0.38%,0.09%
17,Indusind Bank Ltd.,200.34,99.54%,0.37%,0.09%,0.05%
18,Central Bank Of India,181.28,98.58%,0.47%,0.95%,0.58%
19,Indian Overseas Bank,178.88,99.58%,0.40%,0.02%,0.01%
20,Uco Bank,138.97,99.36%,0.33%,0.31%,0.02%
21,Nsdl Payments Bank Limited,129.13,97.42%,2.40%,0.17%,0.07%
22,Bank Of Maharashtra,92.89,97.29%,1.74%,0.98%,0.05%
23,Idbi Bank Ltd.,88.10,98.45%,0.50%,1.04%,0.03%
24,Tri O Tech Solutions Private Limited,85.84,99.14%,0.48%,0.38%,0.10%
25,Jio Payments Bank Ltd,83.50,98.47%,1.46%,0.06%,0.03%
26,Fino Payments Bank Ltd.,82.13,95.91%,3.62%,0.47%,0.04%
27,The Jammu & Kashmir Bank Limited,69.92,99.21%,0.78%,0.02%,0.03%
28,Karnataka Bank,66.56,99.47%,0.30%,0.23%,0.07%
29,One Mobikwik Systems Limited,60.57,99.80%,0.01%,0.19%,0.02%
30,Bandhan Bank Limited,60.53,98.72%,0.22%,1.07%,0.30%
31,Idfc Bank Ltd.,58.16,98.77%,1.18%,0.05%,0.01%
32,Rbl Bank Ltd.,55.45,99.79%,0.10%,0.11%,0.03%
33,Karur Vysya Bank,54.50,99.70%,0.16%,0.14%,0.04%
34,The South Indian Bank Limited,52.17,99.26%,0.26%,0.48%,0.05%
35,Baroda U.P. Bank,49.16,96.09%,0.29%,3.61%,0.97%
36,Tamilnad Mercantile Bank Limited,41.33,98.51%,0.77%,0.72%,0.03%
37,Au Small Finance Bank,40.21,99.25%,0.60%,0.14%,0.04%
38,Slice Small Finance Bank Limited,40.19,93.39%,2.79%,3.82%,0.04%
39,Kerala Gramin Bank,33.28,99.70%,0.13%,0.17%,0.11%
40,City Union Bank,32.25,99.34%,0.49%,0.16%,0.01%
41,Punjab And Sind Bank,30.79,98.83%,0.90%,0.28%,0.08%
42,Ujjivan Small Finance Bank Limited,29.84,99.63%,0.23%,0.14%,0.11%
43,Karnataka Gramin Bank,28.52,98.50%,0.28%,1.22%,0.52%
44,Suryoday Small Finance Bank Limited,27.32,98.08%,1.85%,0.07%,0.04%
45,Rajasthan Marudhara Gramin Bank,27.23,99.37%,0.49%,0.15%,0.14%
46,Chaitanya Godavari Grameena Bank,25.10,98.77%,0.62%,0.61%,0.09%
47,Telangana Grameena Bank,23.73,98.71%,0.38%,0.91%,0.33%
48,Citibank Corporate,20.89,99.27%,0.58%,0.15%,0.11%
49,Maharashtra Gramin Bank,19.45,99.22%,0.06%,0.72%,0.41%
50,Esaf Small Finance Bank Ltd,17.27,98.54%,0.16%,1.30%,0.19%
