UPI Beneficiary Members - Top 50 Members (Nov'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd,"6,213.24",99.99%,0.01%,0.01%,0.00%
2,State Bank of India,"1,566.68",99.50%,0.13%,0.38%,0.14%
3,Axis Bank,"1,561.95",99.92%,0.07%,0.01%,0.01%
4,HDFC Bank,740.76,98.78%,0.97%,0.25%,0.02%
5,ICICI Bank,591.09,99.49%,0.41%,0.10%,0.05%
6,Canara Bank,427.61,99.27%,0.32%,0.33%,0.15%
7,Bank of Baroda,417.34,99.86%,0.06%,0.07%,0.04%
8,Union Bank Of India,395.19,99.73%,0.10%,0.17%,0.06%
9,Federal Bank,387.11,99.73%,0.21%,0.06%,0.00%
10,Punjab national Bank,356.82,99.71%,0.27%,0.01%,0.11%
11,Airtel Payments Bank,319.58,99.19%,0.29%,0.51%,0.21%
12,Kotak Mahindra Bank,294.25,98.52%,1.29%,0.18%,0.11%
13,Indian Bank,220.32,99.14%,0.71%,0.12%,0.08%
14,Bank Of India,215.19,97.84%,0.78%,1.38%,0.48%
15,India Post Payment Bank,183.87,98.71%,0.37%,0.91%,0.18%
16,Indusind Bank,152.52,99.40%,0.32%,0.28%,0.17%
17,Indian Overseas Bank,122.51,99.27%,0.62%,0.10%,0.26%
18,Central Bank of India,105.60,98.43%,1.01%,0.55%,0.60%
19,Fino Payments Bank Limited,93.78,95.72%,4.12%,0.16%,0.06%
20,UCO Bank,92.37,99.10%,0.39%,0.51%,0.03%
21,Bank of Maharashtra,85.17,99.63%,0.24%,0.13%,0.03%
22,IDBI Bank,73.44,99.61%,0.27%,0.12%,0.04%
23,Karnataka Bank,57.56,97.80%,0.69%,1.51%,0.18%
24,RBL Bank Limited,52.00,99.46%,0.43%,0.11%,0.06%
25,One Mobikwik Systems Limited,44.12,99.96%,0.01%,0.03%,0.00%
26,The Jammu & Kashmir Bank Limited,41.98,98.49%,0.23%,1.27%,1.12%
27,Bandhan Bank limited,41.87,98.54%,0.21%,1.26%,0.19%
28,IDFC First Bank Ltd,40.46,99.07%,0.89%,0.04%,0.01%
29,The South Indian Bank Limited,39.73,99.86%,0.11%,0.04%,0.01%
30,Karur Vysya Bank,37.20,99.62%,0.25%,0.13%,0.02%
31,AU small Finance Bank,34.50,99.18%,0.69%,0.13%,0.05%
32,Tri O Tech Solutions Private Limited,31.76,96.11%,3.88%,0.01%,0.00%
33,Tamilnad Mercantile Bank Limited,28.98,99.53%,0.09%,0.39%,0.10%
34,City Union Bank,24.61,99.41%,0.40%,0.19%,0.01%
35,Ujjivan Small Finance Bank,23.21,99.54%,0.20%,0.26%,0.16%
36,Kerala Gramin Bank,21.94,95.27%,0.93%,3.80%,1.49%
37,Punjab and Sind Bank,21.92,97.62%,2.28%,0.10%,0.01%
38,Jio Payments Bank,19.35,99.04%,0.55%,0.41%,0.35%
39,CITI Bank,18.46,99.41%,0.47%,0.13%,0.13%
40,Baroda UP Gramin Bank,15.14,98.54%,0.28%,1.18%,0.54%
41,Andhra Pradesh Grameena Vikas Bank,14.47,96.09%,0.30%,3.61%,0.26%
42,Pragathi Krishna Gramin Bank,13.99,97.27%,0.99%,1.74%,1.10%
43,Equitas Bank,13.26,98.22%,1.46%,0.32%,0.00%
44,ESAF Small Finance Bank Ltd.,12.77,99.70%,0.18%,0.12%,0.04%
45,Maharashtra Gramin Bank,11.55,98.92%,0.14%,0.95%,0.10%
46,Rajasthan Marudhara Gramin Bank,11.16,99.11%,0.33%,0.56%,0.08%
47,NSDL Payments Bank Limited,11.06,98.08%,1.19%,0.73%,0.31%
48,DBS Bank India Limited,10.59,98.35%,1.14%,0.50%,0.13%
49,Andhra Pragathi Grameena Bank,10.41,95.63%,0.24%,4.12%,0.27%
50,Sarva Haryana Gramin Bank,8.65,99.32%,0.36%,0.32%,0.15%
