UPI Beneficiary Members - Top 50 Members (Oct'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd,"6,665.20",99.99%,0.01%,0.00%,0.00%
2,State Bank Of India,"1,667.62",99.11%,0.12%,0.77%,0.37%
3,Axis Bank Ltd.,"1,647.89",99.86%,0.06%,0.07%,0.01%
4,HDFC BANK LTD,814.86,98.94%,1.04%,0.02%,0.01%
5,ICICI Bank,637.79,99.48%,0.49%,0.03%,0.02%
6,Bank of Baroda,472.15,99.90%,0.06%,0.03%,0.06%
7,Canara Bank,449.55,99.26%,0.56%,0.18%,0.13%
8,Union Bank of India,420.82,99.81%,0.10%,0.09%,0.05%
9,Federal Bank,418.03,99.75%,0.20%,0.04%,0.00%
10,Punjab National Bank,386,99.68%,0.28%,0.05%,0.14%
11,Airtel Payments Bank,328.27,99.64%,0.29%,0.07%,0.07%
12,Kotak Mahindra Bank,322.09,98.62%,1.35%,0.03%,0.04%
13,Bank of India,235.92,98.61%,0.85%,0.54%,0.16%
14,Indian Bank,234.79,99.05%,0.80%,0.15%,0.04%
15,India Post Payment Bank,191.03,99.46%,0.25%,0.29%,0.05%
16,Indusind Bank Ltd.,175.04,99.21%,0.64%,0.15%,0.04%
17,Indian Overseas Bank,122.14,98.17%,0.47%,1.36%,0.77%
18,Central Bank Of India,116.32,98.07%,1.42%,0.51%,0.28%
19,Fino Payments Bank Limited FIP,102.43,96.33%,3.56%,0.11%,0.03%
20,UCO Bank,99.3,99.41%,0.47%,0.12%,0.02%
21,Bank of Maharashtra,81.9,99.18%,0.25%,0.57%,0.18%
22,IDBI Bank Limited,79.09,99.62%,0.27%,0.11%,0.05%
23,RBL Bank Limited,59.7,99.59%,0.27%,0.14%,0.11%
24,Karnataka Bank,58.52,98.87%,0.62%,0.51%,0.05%
25,One Mobikwik Systems Pvt - Ltd,51.06,99.96%,0.03%,0.02%,0.00%
26,Bandhan Bank,43.86,98.76%,0.23%,1.01%,0.06%
27,IDFC First Bank Ltd,43.61,98.88%,1.09%,0.03%,0.01%
28,Jammu and Kashmir Bank,41.43,98.42%,0.17%,1.41%,1.19%
29,South Indian Bank,40.76,99.32%,0.63%,0.05%,0.01%
30,Karur Vysya Bank,39.62,98.98%,0.81%,0.21%,0.04%
31,AU small Finance Bank,38.49,99.24%,0.70%,0.06%,0.03%
32,Tri O Tech Solutions Private Limited,33.06,95.65%,4.35%,0.00%,0.00%
33,Tamilnad Mercantile Bank,30.48,99.62%,0.08%,0.29%,0.05%
34,City Union Bank,26.07,98.95%,0.92%,0.12%,0.00%
35,Ujjivan Small Finance Bank,25.03,99.52%,0.21%,0.27%,0.17%
36,Punjab and Sind Bank,22.43,99.12%,0.71%,0.18%,0.03%
37,Jio Payments Bank,20.89,99.23%,0.42%,0.34%,0.17%
38,Kerala Gramin Bank,20.67,98.60%,0.93%,0.47%,0.31%
39,CITI Bank,18.98,99.39%,0.55%,0.05%,0.02%
40,Baroda UP Gramin Bank,15.99,98.78%,0.26%,0.96%,0.34%
41,Andhra Pradesh Grameena Vikas Bank,15.15,98.99%,0.57%,0.44%,0.13%
42,Pragathi Krishna Gramin Bank,14.38,97.87%,1.05%,1.08%,0.76%
43,Equitas Bank,14.34,98.67%,1.18%,0.15%,0.01%
44,Maharashtra Gramin Bank,13.65,98.11%,0.16%,1.74%,0.50%
45,ESAF Small Finance Bank Ltd.,13.14,99.06%,0.83%,0.11%,0.02%
46,NSDL Payments Bank,12.62,97.33%,1.05%,1.62%,0.64%
47,Rajasthan Marudhara Gramin Bank,12.62,96.18%,0.48%,3.34%,0.57%
48,DBS Bank India Limited,11.7,98.41%,1.32%,0.27%,0.05%
49,Andhra Pragathi Grameena Bank,10.42,92.29%,0.83%,6.88%,0.08%
50,Sarva Haryana Gramin Bank,9.23,99.32%,0.34%,0.34%,0.04%
