UPI Beneficiary Members - Top 50 Members (Sep'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd,"6,069.82",99.99%,0.01%,0.00%,0.00%
2,State Bank Of India,"1,544.10",99.39%,0.12%,0.49%,0.04%
3,Axis Bank Ltd.,"1,469.29",99.93%,0.06%,0.00%,0.01%
4,HDFC BANK LTD,734.28,99.05%,0.94%,0.01%,0.01%
5,ICICI Bank,585.98,99.29%,0.47%,0.23%,0.08%
6,Bank of Baroda,423.28,99.89%,0.07%,0.04%,0.09%
7,Federal Bank,398.62,99.78%,0.21%,0.02%,0.00%
8,Union Bank of India,376.52,98.88%,0.10%,1.01%,0.23%
9,Canara Bank,376.48,98.87%,0.81%,0.32%,0.07%
10,Punjab National Bank,342.49,99.65%,0.27%,0.07%,0.09%
11,Kotak Mahindra Bank,289.36,99.08%,0.26%,0.66%,0.47%
12,Airtel Payments Bank,272.92,99.58%,0.29%,0.12%,0.05%
13,Indian Bank,217.43,99.10%,0.84%,0.06%,0.05%
14,Bank of India,209.89,98.76%,0.83%,0.41%,0.16%
15,India Post Payment Bank,165.82,99.62%,0.26%,0.12%,0.02%
16,Indusind Bank Ltd.,150.60,99.67%,0.30%,0.04%,0.01%
17,Central Bank Of India,125.25,96.10%,3.21%,0.69%,0.52%
18,Indian Overseas Bank,108.08,98.30%,0.17%,1.53%,0.98%
19,Fino Payments Bank Ltd.,92.64,96.41%,3.38%,0.21%,0.04%
20,UCO Bank,91.36,98.27%,0.44%,1.29%,0.10%
21,IDBI Bank Limited,70.98,99.33%,0.29%,0.39%,0.17%
22,Bank of Maharashtra,70.68,99.46%,0.24%,0.30%,0.11%
23,RBL Bank Limited,65.45,99.29%,0.32%,0.38%,0.27%
24,Karnataka Bank,53.43,99.46%,0.32%,0.22%,0.03%
25,One Mobikwik Systems Pvt - Ltd,47.98,99.80%,0.04%,0.16%,0.01%
26,Bandhan Bank,39.33,98.09%,0.29%,1.61%,0.24%
27,IDFC First Bank Ltd,39.31,98.84%,1.11%,0.05%,0.01%
28,South Indian Bank,38.79,99.06%,0.92%,0.02%,0.02%
29,Karur Vysya Bank,38.19,97.81%,1.46%,0.73%,0.17%
30,Jammu and Kashmir Bank,38.05,99.35%,0.17%,0.48%,0.46%
31,AU small Finance Bank,35.26,99.05%,0.78%,0.17%,0.05%
32,Tri O Tech Solutions Private Limited,28.83,96.18%,3.81%,0.00%,0.00%
33,Tamilnad Mercantile Bank,28.12,124.22%,0.08%,0.29%,0.07%
34,City Union Bank,24.24,97.59%,1.90%,0.50%,0.03%
35,Ujjivan Small Finance Bank,23.05,98.95%,0.82%,0.23%,0.17%
36,Punjab and Sind Bank,21.60,99.16%,0.38%,0.45%,0.15%
37,Kerala Gramin Bank,18.64,97.84%,0.93%,1.23%,0.58%
38,CITI Bank,17.54,99.27%,0.66%,0.07%,0.03%
39,Jio Payments Bank,17.18,99.25%,0.37%,0.38%,0.21%
40,Pragathi Krishna Gramin Bank,13.73,96.95%,1.24%,1.81%,1.02%
41,Andhra Pradesh Grameena Vikas Bank,13.71,98.92%,0.40%,0.68%,0.15%
42,Equitas Bank,13.44,98.64%,1.29%,0.07%,0.02%
43,Baroda UP Gramin Bank,13.13,99.48%,0.32%,0.21%,0.06%
44,ESAF Small Finance Bank Ltd.,12.08,98.74%,1.15%,0.11%,0.04%
45,Maharashtra Gramin Bank,12.02,97.96%,0.20%,1.84%,0.18%
46,Rajasthan Marudhara Gramin Bank,11.31,97.58%,0.46%,1.97%,0.14%
47,DBS Bank India Limited,11.13,98.39%,1.36%,0.26%,0.01%
48,Andhra Pragathi Grameena Bank,9.63,94.93%,0.22%,4.84%,0.40%
49,Sarva Haryana Gramin Bank,8.51,96.46%,0.35%,3.19%,0.92%
50,Sarva UP Gramin Bank,8.11,96.43%,0.51%,3.07%,0.96%
