UPI Remitter Members - Top 50 Members (Apr'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"6,183.11",91.57%,8.25%,0.17%,17.72,96.68%
2,Hdfc Bank Ltd.,"1,669.79",93.68%,6.28%,0.05%,3.64,96.15%
3,Bank Of Baroda,"1,638.53",88.32%,11.62%,0.06%,5.46,97.86%
4,Union Bank Of India,"1,447.90",90.79%,9.21%,0.00%,4.06,97.83%
5,Punjab National Bank,"1,315.38",88.57%,11.11%,0.32%,6.06,98.13%
6,Canara Bank,"1,152.59",91.22%,8.52%,0.26%,3.84,82.05%
7,Kotak Mahindra Bank,"1,123.84",89.68%,10.31%,0.01%,2.89,98.66%
8,Axis Bank Ltd.,"1,017.31",93.64%,6.36%,0.01%,2.16,99.35%
9,India Post Payments Bank Limited ,869.56,81.68%,17.57%,0.76%,5.61,80.94%
10,Indian Bank,783.67,89.65%,10.27%,0.08%,2,17.92%
11,Icici Bank Ltd.,775.63,95.61%,4.39%,0.00%,1.29,98.57%
12,Airtel Payments Bank Limited,772.45,74.38%,25.28%,0.34%,4.05,99.84%
13,Bank Of India,712.52,91.33%,8.63%,0.04%,0.85,1.08%
14,Indian Overseas Bank,412.91,91.14%,8.76%,0.10%,1.4,92.92%
15,Central Bank Of India,408.62,87.14%,11.47%,1.39%,2.56,72.51%
16,Uco Bank,329.07,86.58%,13.27%,0.15%,1.39,78.64%
17,Federal Bank Ltd.,288.29,90.93%,9.02%,0.05%,0.58,99.57%
18,Fino Payments Bank Ltd.,268.50,77.64%,22.14%,0.22%,1.57,88.32%
19,Bank Of Maharashtra,259.61,90.76%,9.09%,0.15%,0.78,86.62%
20,Indusind Bank Ltd.,248.08,85.99%,13.90%,0.11%,0.88,98.55%
21,Idbi Bank Ltd.,226.76,91.74%,8.15%,0.11%,0.66,92.75%
22,Tri O Tech Solutions Private Limited,180.33,100.00%,0.00%,0.00%,-,0.00%
23,Yes Bank Ltd.,169.52,91.08%,8.75%,0.17%,0.33,86.69%
24,Karnataka Bank,161.94,90.54%,9.39%,0.07%,0.43,89.82%
25,Idfc Bank Ltd.,143.99,91.88%,8.08%,0.04%,0.32,92.77%
26,The Jammu & Kashmir Bank Limited,116.59,92.08%,7.88%,0.04%,0.42,81.84%
27,Karur Vysya Bank,104.46,92.28%,7.53%,0.20%,0.29,82.05%
28,Jio Payments Bank Ltd,102.39,80.65%,18.91%,0.45%,1.18,96.83%
29,Bandhan Bank Limited,100.26,94.90%,4.67%,0.42%,0.48,98.22%
30,Au Small Finance Bank,89.99,86.59%,12.79%,0.62%,0.34,89.30%
31,Baroda U.P. Bank,85.89,91.18%,5.48%,3.33%,1.18,51.78%
32,The South Indian Bank Limited,81.23,93.59%,6.27%,0.14%,0.13,97.25%
33,Nsdl Payments Bank Limited,80.35,73.05%,23.28%,3.67%,1.32,84.35%
34,"Slice Small Finance Bank Limited
  ",76.91,94.23%,5.67%,0.10%,0.24,92.65%
35,Punjab And Sind Bank,69.04,87.12%,12.59%,0.29%,0.34,89.62%
36,Rajasthan Marudhara Gramin Bank,65.75,79.61%,14.36%,6.03%,0.45,70.27%
37,Tamilnad Mercantile Bank Limited,64.04,91.45%,8.25%,0.30%,0.14,94.33%
38,Ujjivan Small Finance Bank Limited,63.65,86.48%,12.78%,0.75%,0.27,82.49%
39,Karnataka Gramin Bank,61.40,85.98%,11.44%,2.58%,0.66,29.74%
40,City Union Bank,60.88,91.38%,8.35%,0.27%,0.13,99.75%
41,Kerala Gramin Bank,57.67,92.76%,6.84%,0.41%,0.18,73.75%
42,Telangana Grameena Bank,53.21,85.61%,11.30%,3.09%,0.16,85.05%
43,Chaitanya Godavari Grameena Bank,48.58,86.30%,12.67%,1.03%,0.31,49.89%
44,Maharashtra Gramin Bank,44.54,83.24%,15.59%,1.17%,0.19,59.45%
45,Esaf Small Finance Bank Ltd,36.72,94.62%,3.69%,1.69%,0.22,78.64%
46,Saraswat Co-Operative Bank,34.24,93.48%,5.89%,0.63%,0.11,68.64%
47,Dbs Bank India Limited,31.89,91.08%,8.72%,0.20%,0.08,100.00%
48,Rbl Bank Ltd.,30.92,90.41%,8.98%,0.61%,0.09,71.52%
49,Equitas Small Finance Bank,29.77,88.92%,11.02%,0.06%,0.08,95.36%
50,One Mobikwik Systems Limited,29.23,100.00%,0.00%,0.00%,-,0.00%
