UPI Remitter Members - Top 50 Members (Aug'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"4,052.31",94.40%,5.39%,0.21%,11.86,98.58%
2,HDFC Bank Ltd.,"1,270.59",95.28%,4.66%,0.06%,3.61,99.34%
3,Bank of Baroda,985.86,92.45%,6.95%,0.60%,3.26,95.42%
4,Union Bank Of India,941.93,93.51%,5.83%,0.65%,3.91,68.43%
5,Punjab national Bank,835.00,91.99%,7.92%,0.09%,2.96,95.13%
6,Kotak Mahindra Bank,772.93,92.43%,7.48%,0.09%,2.03,93.51%
7,Axis bank Ltd.,730.47,95.47%,4.53%,0.00%,1.67,98.74%
8,Canara Bank,722.42,93.11%,6.11%,0.78%,3.27,85.39%
9,ICICI Bank Ltd.,648.75,96.15%,3.76%,0.09%,1.37,96.47%
10,Bank Of India,478.26,93.86%,5.61%,0.53%,2.07,74.34%
11,Indian Bank,462.16,94.02%,5.92%,0.06%,1.36,95.17%
12,Airtel Payments Bank Ltd,437.93,90.01%,9.84%,0.15%,1.81,97.33%
13,India Post Payments Bank Ltd,349.66,88.27%,10.99%,0.74%,1.73,91.01%
14,Federal bank Ltd.,221.37,94.22%,5.75%,0.03%,0.59,99.43%
15,Central Bank of India,218.28,88.36%,11.05%,0.59%,1.08,81.74%
16,Indian Overseas Bank,217.93,92.44%,5.92%,1.64%,1.05,90.49%
17,UCO Bank,200.84,92.29%,7.59%,0.12%,0.77,89.65%
18,IDBI Bank,166.58,94.17%,5.57%,0.26%,0.75,91.64%
19,Indusind Bank Ltd.,165.70,91.49%,8.34%,0.17%,0.67,98.15%
20,Bank of Maharashtra,163.62,93.33%,6.41%,0.25%,0.53,84.69%
21,Fino Payments Bank Limited,151.38,92.78%,6.83%,0.39%,0.88,73.49%
22,Yes Bank Ltd.,126.41,93.91%,5.87%,0.23%,0.33,72.31%
23,Karnataka Bank,117.67,92.78%,7.01%,0.21%,0.39,81.20%
24,IDFC First Bank Ltd,89.97,93.64%,6.13%,0.23%,0.38,61.58%
25,Karur Vysya Bank,74.18,92.49%,6.22%,1.30%,0.42,74.66%
26,AU small Finance Bank,69.40,91.26%,8.72%,0.02%,0.16,97.18%
27,The Jammu & Kashmir Bank Limited,69.35,92.93%,5.02%,2.06%,0.84,31.42%
28,Bandhan Bank limited,66.15,93.24%,5.73%,1.03%,0.29,90.93%
29,The South Indian Bank Limited,60.30,95.07%,4.88%,0.05%,0.15,97.96%
30,Tri O Tech Solutions Private Limited,57.12,100.00%,0.00%,0.00%,-,-
31,Ujjivan Small Finance Bank Limited,45.73,94.25%,5.32%,0.42%,0.17,90.37%
32,City Union Bank,44.59,92.78%,6.73%,0.49%,0.14,96.77%
33,Punjab and Sind Bank,42.38,92.12%,7.39%,0.49%,0.24,81.24%
34,Tamilnad Mercantile Bank Limited,41.50,91.74%,7.81%,0.46%,0.14,77.29%
35,Kerala Gramin Bank,34.73,90.77%,6.37%,2.87%,0.39,70.78%
36,Equitas Small Finance Bank Ltd,32.89,92.09%,7.25%,0.66%,0.12,93.25%
37,Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank),30.19,84.79%,7.38%,7.83%,0.84,50.55%
38,Andhra Pradesh Grameena Vikas Bank - IMPS,28.61,86.25%,12.84%,0.91%,0.10,76.11%
39,DBS Bank India Limited,28.32,93.80%,6.18%,0.03%,0.08,99.45%
40,Standard Chartered Bank,26.22,97.09%,2.89%,0.03%,0.06,93.72%
41,ESAF Small Finance Bank Ltd.,25.47,95.08%,4.72%,0.21%,0.09,90.60%
42,Saraswat Co-operative Bank,25.08,95.11%,4.76%,0.13%,0.07,91.58%
43,Maharashtra Gramin Bank,24.99,86.37%,12.27%,1.35%,0.09,84.89%
44,Baroda U.P. Bank (Erstwhile Baroda Uttar Pradesh Gramin Bank),24.96,88.53%,8.79%,2.68%,0.25,39.56%
45,Rajasthan Marudhara Gramin Bank,23.83,86.87%,10.55%,2.58%,0.20,56.54%
46,Sarva Haryana Gramin Bank,20.33,87.70%,6.60%,5.70%,0.33,52.55%
47,Jio Payments Bank limited,20.10,82.02%,15.04%,2.94%,0.23,89.82%
48,RBL Bank Ltd.,18.51,90.75%,8.85%,0.40%,0.07,67.86%
49,NSDL Payments Bank Limited,18.11,84.73%,11.81%,3.47%,0.27,17.10%
50,Andhra Pragathi Grameena Bank,17.78,85.45%,12.94%,1.61%,0.09,61.42%
