UPI Remitter Members - Top 50 Members (Dec'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,833.74",91.89%,7.54%,0.57%,18.25,97.54%
2,HDFC Bank Ltd.,"1,654.30",94.30%,5.67%,0.03%,3.88,92.97%
3,Bank of Baroda,"1,514.50",89.57%,10.32%,0.11%,5.36,98.90%
4,Union Bank of India,"1,346.98",90.75%,8.66%,0.58%,5.47,67.95%
5,Punjab National Bank,"1,206.23",89.29%,10.15%,0.56%,5.64,89.78%
6,Axis Bank Ltd.,"1,107.12",94.87%,5.12%,0.01%,2.11,99.69%
7,Canara Bank,"1,076.87",90.95%,8.24%,0.80%,4.54,76.40%
8,Kotak Mahindra Bank,"1,075.99",90.79%,9.19%,0.01%,3.01,96.27%
9,ICICI Bank Ltd.,777.48,95.74%,4.20%,0.05%,1.40,97.08%
10,India Post Payments Bank Limited,770.88,84.39%,14.98%,0.63%,4.63,92.76%
11,Indian Bank,728.78,91.08%,8.69%,0.22%,2.51,92.97%
12,Airtel Payments Bank Limited,713.93,80.83%,18.93%,0.24%,4.42,93.44%
13,Bank Of India,675.44,92.49%,7.29%,0.22%,2.58,94.40%
14,Indian Overseas Bank,373.86,91.34%,7.65%,1.01%,1.21,69.35%
15,Central Bank of India,361.51,89.74%,9.46%,0.81%,2.29,82.16%
16,UCO Bank,311.19,89.39%,10.46%,0.15%,1.31,86.85%
17,Federal Bank Ltd.,287.32,92.27%,7.62%,0.11%,0.65,95.84%
18,Fino Payments Bank Ltd.,257.61,81.75%,17.75%,0.51%,1.41,89.47%
19,Bank of Maharashtra,241.41,92.50%,7.23%,0.27%,0.78,75.21%
20,Indusind Bank Ltd.,232.46,87.60%,12.15%,0.25%,1.03,76.41%
21,IDBI Bank Ltd.,216.21,92.87%,6.73%,0.40%,0.70,74.23%
22,Yes Bank Ltd.,182.31,90.49%,9.39%,0.12%,0.34,87.17%
23,Karnataka Bank,158.04,91.61%,8.24%,0.15%,0.54,94.62%
24,Tri O Tech Solutions Private Limited,157.89,100.00%,0.00%,0.00%,-,0.00%
25,IDFC Bank Ltd.,126.76,92.29%,7.68%,0.03%,0.33,88.23%
26,The Jammu & Kashmir Bank Limited,107.49,92.54%,6.96%,0.50%,0.63,77.36%
27,Karur Vysya Bank,102.37,92.51%,7.37%,0.12%,0.30,84.63%
28,BANDHAN BANK LIMITED,97.47,95.42%,4.58%,0.00%,0.43,97.99%
29,JIO Payments Bank Ltd,85.37,80.99%,16.26%,2.75%,1.08,97.16%
30,AU Small Finance Bank,85.25,88.18%,11.66%,0.16%,0.35,91.62%
31,The South Indian Bank Limited,81.38,94.38%,5.58%,0.04%,0.15,99.04%
32,Uttar Pradesh Gramin Bank,71.45,91.42%,4.52%,4.06%,1.04,45.06%
33,NSDL Payments Bank Limited,67.06,79.15%,18.67%,2.19%,0.86,76.31%
34,Punjab and Sind Bank,62.97,87.64%,10.95%,1.41%,0.52,60.95%
35,Tamilnad Mercantile Bank Limited,62.47,91.74%,7.44%,0.83%,0.25,70.90%
36,City Union Bank,61.25,91.82%,8.11%,0.07%,0.15,95.68%
37,Ujjivan Small Finance Bank Limited,59.73,88.34%,11.50%,0.16%,0.21,94.27%
38,Kerala Gramin Bank,55.20,92.26%,7.43%,0.31%,0.21,67.92%
39,Rajasthan Gramin Bank,54.91,84.05%,12.66%,3.29%,0.69,50.33%
40,Karnataka Gramin Bank,53.94,88.85%,10.88%,0.27%,0.22,77.66%
41,Slice Small Finance Bank Limited,48.39,95.36%,4.51%,0.12%,0.22,90.62%
42,Telangana Grameena Bank,47.72,88.63%,10.65%,0.71%,0.19,90.13%
43,Andhra Pradesh Grameena Bank,39.67,91.41%,7.66%,0.93%,0.23,55.25%
44,Maharashtra Gramin Bank,39.27,84.54%,13.94%,1.52%,0.26,37.41%
45,ESAF Small Finance Bank Ltd,36.95,95.86%,3.85%,0.30%,0.12,96.96%
46,Saraswat Co-operative Bank,33.09,94.17%,5.28%,0.56%,0.10,70.21%
47,DBS Bank India Limited,32.42,91.93%,8.02%,0.05%,0.08,95.64%
48,RBL Bank Ltd.,31.79,92.57%,7.36%,0.07%,0.06,89.37%
49,Equitas Small Finance Bank,29.61,90.25%,9.74%,0.01%,0.09,99.47%
50,Sarva Haryana Gramin Bank,27.78,91.17%,6.97%,1.87%,0.38,45.62%
