UPI Remitter Members - Top 50 Members (Feb'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,4400.89,0.9213,0.0753,0.0034,12.56,0.9416
2,HDFC Bank Ltd.,1335.84,0.9374,0.062,0.0006,3.56,0.9871
3,Bank of Baroda,1107.47,0.9078,0.0916,0.0006,2.98,0.9441
4,Union Bank of India,1035.24,0.9172,0.0805,0.0022,2.9,0.8912
5,Punjab National Bank,925.01,0.8974,0.1012,0.0014,2.77,0.9609
6,Kotak Mahindra Bank,838.1,0.8958,0.1023,0.0019,2.07,0.0275
7,Canara Bank,799.21,0.9086,0.087,0.0044,2.65,0.7752
8,Axis Bank Ltd.,774.8,0.9321,0.0678,0.0002,1.61,0.9796
9,ICICI Bank Ltd.,646.14,0.9486,0.0508,0.0006,1.29,0.9236
10,Bank Of India,524.43,0.92,0.0717,0.0083,2.6,0.6353
11,Indian Bank,517.21,0.9187,0.0808,0.0005,1.27,0.9338
12,Airtel Payments Bank Limited,494.58,0.7975,0.1784,0.0241,2.16,0.828
13,India Post Payments Bank Ltd.,488.27,0.8483,0.1404,0.0113,1.76,0.8535
14,Indian Overseas Bank,257.53,0.9188,0.0793,0.0019,0.67,0.9718
15,Central Bank of India,234.96,0.8599,0.1349,0.0052,0.85,0.9218
16,Federal Bank Ltd.,234.23,0.9154,0.0832,0.0014,0.48,0.9798
17,UCO Bank,222.51,0.904,0.0922,0.0038,0.79,0.838
18,Bank of Maharashtra,183.07,0.9204,0.0747,0.005,0.71,0.6229
19,Fino Payments Bank Ltd.,182.03,0.8988,0.0989,0.0022,0.82,0.8343
20,Indusind Bank Ltd.,180.68,0.8751,0.1212,0.0037,0.81,0.6152
21,IDBI Bank Ltd.,177.38,0.9232,0.0734,0.0034,0.62,0.8766
22,Yes Bank Ltd.,150.13,0.8699,0.1277,0.0023,0.48,0.5437
23,Karnataka Bank,127.01,0.9088,0.0865,0.0047,0.47,0.6211
24,IDFC Bank Ltd.,99.48,0.9073,0.0924,0.0002,0.23,0.959
25,Karur Vysya Bank,80.65,0.9179,0.0787,0.0034,0.23,0.7872
26,The Jammu & Kashmir Bank Limited,80.46,0.9131,0.0633,0.0236,0.96,0.2781
27,Tri O Tech Solutions Private Limited,76.79,1,0,0,-,0
28,Bandhan Bank limited,74.75,0.9293,0.0502,0.0205,0.65,0.8871
29,AU Small Finance Bank,67.04,0.8679,0.1278,0.0043,0.28,0.7462
30,The South Indian Bank Limited,63.83,0.9357,0.0583,0.006,0.12,0.9699
31,Punjab and Sind Bank,48.34,0.8973,0.0968,0.0059,0.25,0.7545
32,City Union Bank,48.24,0.9153,0.0833,0.0013,0.09,0.964
33,Ujjivan Small Finance Bank Limited,46.36,0.9456,0.0535,0.001,0.15,0.8876
34,Tamilnad Mercantile Bank Limited,45.82,0.9137,0.0813,0.005,0.14,0.6488
35,Kerala Gramin Bank,39.96,0.9208,0.0729,0.0063,0.15,0.8895
36,JIO Payments Bank Ltd,39.6,0.8644,0.1294,0.0062,0.21,0.8
37,Baroda U.P. Bank,35.45,0.9212,0.0603,0.0184,0.31,0.4158
38,Telangana Grameena Bank,31.21,0.8385,0.1235,0.0381,0.6,0.2667
39,Karnataka Gramin Bank,31.05,0.8853,0.1015,0.0132,0.21,0.8774
40,NSDL Payments Bank Limited,30.8,0.6839,0.1591,0.1571,1.47,0.0899
41,Rajasthan Marudhara Gramin Bank,30.74,0.8012,0.1429,0.0559,0.63,0.1891
42,Maharashtra Gramin Bank,30.5,0.8601,0.1199,0.0201,0.15,0.5325
43,ESAF Small Finance Bank Ltd,28.79,0.9428,0.0415,0.0157,0.18,0.9131
44,DBS Bank India Limited,28.75,0.922,0.0775,0.0005,0.07,0.9335
45,RBL Bank Ltd.,28.55,0.9146,0.0775,0.0079,0.09,0.662
46,Equitas Small Finance Bank,28.49,0.8974,0.0972,0.0054,0.1,0.7153
47,Saraswat Co-operative Bank,26.38,0.9324,0.0616,0.0061,0.1,0.5599
48,Standard Chartered Bank,25.11,0.9566,0.0429,0.0005,0.05,0.9157
49,Andhra Pragathi Grameena Bank,23.7,0.8393,0.1253,0.0353,0.43,0.7917
50,Sarva Haryana Gramin Bank,20.73,0.9258,0.0452,0.029,0.2,0.4638
