UPI Remitter Members - Top 50 Members (Jan'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,855.79",92.07%,7.61%,0.32%,23.23,95.90%
2,HDFC Bank Ltd.,"1,651.17",94.08%,5.87%,0.05%,4.63,92.59%
3,Bank of Baroda,"1,542.14",89.46%,10.53%,0.01%,7.00,99.53%
4,Union Bank of India,"1,353.05",91.03%,8.72%,0.24%,5.87,82.26%
5,Punjab National Bank,"1,222.89",88.58%,10.88%,0.54%,8.57,79.78%
6,Canara Bank,"1,093.77",90.83%,8.63%,0.55%,4.96,82.46%
7,Kotak Mahindra Bank,"1,091.42",90.27%,9.73%,0.00%,3.90,98.25%
8,Axis Bank Ltd.,"1,016.49",94.22%,5.78%,0.00%,2.73,97.00%
9,INDIA POST PAYMENTS BANK LIMITED,832.71,82.08%,17.28%,0.64%,6.51,94.82%
10,ICICI Bank Ltd.,764.26,95.29%,4.30%,0.40%,2.11,81.55%
11,Indian Bank,738.42,90.76%,9.05%,0.19%,2.88,97.69%
12,Airtel Payments Bank Limited,738.09,78.94%,20.89%,0.18%,5.96,98.39%
13,Bank Of India,687.39,92.22%,7.73%,0.05%,3.32,96.95%
14,Indian Overseas Bank,383.18,91.59%,8.20%,0.21%,1.72,89.05%
15,Central Bank of India,373.55,89.66%,10.06%,0.28%,2.18,94.26%
16,UCO Bank,316.57,88.67%,11.31%,0.02%,1.51,96.97%
17,Federal Bank Ltd.,290.33,92.04%,7.93%,0.03%,0.76,98.66%
18,Bank of Maharashtra,246.23,92.49%,7.50%,0.01%,0.79,95.72%
19,Indusind Bank Ltd.,237.56,87.16%,12.68%,0.16%,1.30,82.57%
20,Fino Payments Bank Ltd.,229.08,78.32%,20.92%,0.77%,2.30,68.82%
21,IDBI Bank Ltd.,218.90,92.87%,6.98%,0.15%,0.75,84.37%
22,Yes Bank Ltd.,172.58,91.14%,8.80%,0.06%,0.40,92.23%
23,Tri O Tech Solutions Private Limited,159.92,100.00%,0.00%,0.00%,-,0.00%
24,Karnataka Bank,155.90,90.67%,9.09%,0.24%,0.58,98.12%
25,IDFC Bank Ltd.,131.03,92.19%,7.78%,0.02%,0.37,98.02%
26,The Jammu & Kashmir Bank Limited,105.46,91.98%,7.71%,0.31%,0.74,76.46%
27,Karur Vysya Bank,101.30,92.31%,7.55%,0.13%,0.31,89.68%
28,BANDHAN BANK LIMITED,99.04,95.22%,4.49%,0.29%,0.58,97.60%
29,JIO PAYMENTS BANK LTD,90.12,82.46%,16.83%,0.71%,1.43,96.76%
30,AU small Finance Bank,87.17,87.32%,12.12%,0.56%,0.55,79.76%
31,The South Indian Bank Limited,81.99,94.32%,5.63%,0.06%,0.16,99.36%
32,NSDL Payments Bank Limited,72.22,77.96%,20.24%,1.80%,1.28,77.92%
33,Punjab and Sind Bank,63.67,88.21%,11.08%,0.71%,0.37,94.72%
34,Tamilnad Mercantile Bank Limited,61.69,92.17%,7.74%,0.09%,0.18,93.01%
35,UJJIVAN SMALL FINANCE BANK LIMITED,60.33,88.73%,11.11%,0.16%,0.29,92.79%
36,City Union Bank,60.03,91.53%,8.42%,0.05%,0.17,99.82%
37,Rajasthan Marudhara Gramin Bank,57.40,84.87%,13.13%,1.99%,0.58,87.29%
38,KERALA GRAMIN BANK,57.00,92.43%,7.27%,0.30%,0.17,89.16%
39,Slice Small Finance Bank Limited,56.48,95.04%,4.84%,0.11%,0.29,90.38%
40,Karnataka Gramin Bank,55.87,87.39%,11.59%,1.02%,0.35,59.51%
41,TELANGANA GRAMEENA BANK,48.68,86.99%,10.66%,2.34%,0.38,48.74%
42,CHAITANYA GODAVARI GRAMEENA BANK,43.44,89.52%,9.69%,0.80%,0.26,69.21%
43,Maharashtra Gramin Bank,41.15,83.70%,14.61%,1.69%,0.29,42.54%
44,ESAF SMALL FINANCE BANK LTD,37.02,95.45%,3.92%,0.63%,0.18,78.32%
45,Saraswat Co-operative Bank,33.06,94.18%,5.56%,0.27%,0.09,89.22%
46,DBS Bank India Limited,31.99,91.47%,8.45%,0.08%,0.10,90.60%
47,RBL Bank Ltd.,31.06,91.64%,7.80%,0.56%,0.08,85.01%
48,EQUITAS SMALL FINANCE BANK,29.41,89.89%,10.09%,0.02%,0.11,98.52%
49,SARVA HARYANA GRAMIN BANK,27.49,91.00%,7.91%,1.10%,0.33,67.98%
50,ONE MOBIKWIK SYSTEMS LIMITED,24.65,99.95%,0.05%,0.00%,-,0.00%
