UPI Remitter Members - Top 50 Members (Jun'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Members,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,4917.29,0.9364,0.0582,0.0054,12.9,0.9827
2,HDFC Bank Ltd.,1472.04,0.953,0.0462,0.0008,1.8,0.9945
3,Bank of Baroda,1239.11,0.9109,0.0888,0.0003,3.01,0.9854
4,Union Bank of India,1144.76,0.9295,0.0694,0.0011,2.71,0.8894
5,Punjab National Bank,1053,0.9238,0.0759,0.0002,2.67,0.9901
6,Kotak Mahindra Bank,906.5,0.9248,0.0749,0.0004,1.92,0.9708
7,Canara Bank,889.37,0.9285,0.0683,0.0032,2.61,0.6738
8,Axis Bank Ltd.,834.65,0.9452,0.0512,0.0036,2.15,0.6954
9,ICICI Bank Ltd.,696.88,0.9624,0.0374,0.0003,1.15,0.9602
10,Indian Bank,586.64,0.9323,0.0669,0.0008,1.15,0.9762
11,India Post Payments Bank Limited,580.38,0.8895,0.1065,0.0041,2.15,0.8483
12,Bank Of India,570.58,0.9287,0.0583,0.013,3.53,0.4585
13,Airtel Payments Bank Limited,569.33,0.8708,0.1252,0.004,2.02,0.9449
14,Indian Overseas Bank,298.47,0.9276,0.0678,0.0045,0.72,0.9739
15,Central Bank of India,265.57,0.9164,0.0794,0.0042,0.97,0.87
16,UCO Bank,254.42,0.9181,0.0778,0.0041,0.95,0.8451
17,Federal Bank Ltd.,242.1,0.9338,0.066,0.0002,0.42,0.9594
18,Fino Payments Bank Ltd.,209.27,0.8738,0.1174,0.0088,0.9,0.7708
19,Bank of Maharashtra,200.61,0.9359,0.0638,0.0003,0.46,0.9605
20,Indusind Bank Ltd.,196.57,0.8994,0.0941,0.0064,0.93,0.5163
21,IDBI Bank Ltd.,193.91,0.9365,0.0608,0.0027,0.53,0.8441
22,Yes Bank Ltd.,180.35,0.9255,0.0737,0.0008,0.25,0.8572
23,Karnataka Bank,138.5,0.9241,0.0734,0.0025,0.35,0.7732
24,Tri O Tech Solutions Private Limited,112.44,1,0,0,-,0
25,IDFC Bank Ltd.,112.34,0.9354,0.0632,0.0014,0.25,0.838
26,The Jammu & Kashmir Bank Limited,97.27,0.9334,0.0592,0.0073,0.64,0.4111
27,Karur Vysya Bank,89.99,0.9312,0.0659,0.0029,0.18,0.9226
28,Bandhan Bank limited,84.89,0.9423,0.0528,0.0049,0.29,0.9399
29,AU Small Finance Bank,72.91,0.9035,0.0961,0.0004,0.21,0.9205
30,The South Indian Bank Limited,68.49,0.9467,0.0513,0.0019,0.1,0.9873
31,Punjab and Sind Bank,55.07,0.9118,0.0776,0.0106,0.35,0.7182
32,City Union Bank,52.89,0.922,0.0759,0.002,0.08,0.9933
33,Ujjivan Small Finance Bank Limited,52.39,0.9145,0.0825,0.003,0.14,0.8738
34,Tamilnad Mercantile Bank Limited,52.32,0.9304,0.0681,0.0015,0.08,0.7268
35,JIO Payments Bank Ltd,52.13,0.8591,0.1308,0.0101,0.38,0.9266
36,Baroda U.P. Bank,44.19,0.9321,0.0556,0.0123,0.28,0.5369
37,Kerala Gramin Bank,43.3,0.9163,0.0678,0.0158,0.34,0.7304
38,Telangana Grameena Bank,41.11,0.8707,0.1014,0.0279,0.28,0.6585
39,NSDL Payments Bank Limited,38.69,0.8505,0.1421,0.0074,0.22,0.7712
40,Karnataka Gramin Bank,34.24,0.8811,0.0933,0.0256,0.29,0.646
41,Maharashtra Gramin Bank,34.01,0.8629,0.1286,0.0085,0.14,0.5719
42,Rajasthan Marudhara Gramin Bank,33.3,0.8673,0.1181,0.0147,0.17,0.7369
43,RBL Bank Ltd.,32.16,0.9389,0.0588,0.0023,0.07,0.6168
44,ESAF Small Finance Bank Ltd,31.54,0.9588,0.0402,0.001,0.07,0.94
45,DBS Bank India Limited,30.55,0.9329,0.0652,0.0019,0.07,0.8706
46,Andhra Pragathi Grameena Bank,29.66,0.8304,0.127,0.0426,0.23,0.639
47,Equitas Small Finance Bank,28.87,0.9134,0.0866,0,0.07,0.9913
48,Saraswat Co-operative Bank,28.21,0.9461,0.053,0.0008,0.06,0.8918
49,Sarva Haryana Gramin Bank,24.99,0.946,0.0455,0.0084,0.14,0.6495
50,Standard Chartered Bank,24.78,0.9578,0.0388,0.0033,0.05,0.7466
