UPI Remitter Members - Top 50 Members (Mar'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr_No,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,4956.07,0.9201,0.0709,0.009,20.26,0.863
2,HDFC Bank Ltd.,1513.14,0.9398,0.06,0.0002,4.92,0.9721
3,Bank of Baroda,1270.6,0.8947,0.105,0.0003,3.86,0.9532
4,Union Bank of India,1173.28,0.9158,0.0836,0.0006,3.51,0.8997
5,Punjab National Bank,1043.06,0.9022,0.0945,0.0033,3.83,0.913
6,Kotak Mahindra Bank,938.6,0.8978,0.1019,0.0002,2.42,0.0094
7,Canara Bank,901.11,0.9183,0.0804,0.0013,2.7,0.8781
8,Axis Bank Ltd.,883.53,0.9352,0.0645,0.0003,2.25,0.8445
9,ICICI Bank Ltd.,730.29,0.9515,0.0472,0.0013,1.83,0.9105
10,Bank Of India,595.31,0.9234,0.0708,0.0058,2.67,0.7307
11,Indian Bank,589.5,0.9156,0.0821,0.0023,1.97,0.7566
12,India Post Payments Bank Limited,570.54,0.8613,0.1354,0.0033,2.31,0.8905
13,Airtel Payments Bank Limited,569.69,0.8431,0.1538,0.0031,2.52,0.8884
14,Indian Overseas Bank,292.32,0.9193,0.0767,0.004,1.06,0.9187
15,Central Bank of India,266.98,0.8615,0.1355,0.003,0.94,0.9479
16,Federal Bank Ltd.,256.34,0.9149,0.0846,0.0005,0.57,0.9807
17,UCO Bank,254.76,0.8986,0.1005,0.0009,0.96,0.8931
18,Fino Payments Bank Ltd.,214.85,0.8762,0.1218,0.0021,1.2,0.7233
19,Bank of Maharashtra,208.61,0.9252,0.0731,0.0017,0.81,0.6923
20,Indusind Bank Ltd.,203.78,0.8795,0.1202,0.0003,0.74,0.8122
21,IDBI Bank Ltd.,200.78,0.9276,0.0723,0.0001,0.6,0.951
22,Yes Bank Ltd.,167.37,0.8824,0.1165,0.0011,0.46,0.6933
23,Karnataka Bank,144.19,0.9064,0.0875,0.0061,0.7,0.5968
24,IDFC Bank Ltd.,112.68,0.912,0.088,0,0.29,0.9184
25,Karur Vysya Bank,90.86,0.9197,0.0776,0.0027,0.27,0.8268
26,Tri O Tech Solutions Private Limited,89.61,1,0,0,-,0
27,The Jammu & Kashmir Bank Limited,88.86,0.9245,0.0641,0.0114,0.99,0.3227
28,Bandhan Bank limited,82.99,0.9236,0.0516,0.0248,0.79,0.6708
29,AU Small Finance Bank,75.73,0.8732,0.1267,0,0.29,0.8357
30,The South Indian Bank Limited,70.22,0.9388,0.0604,0.0008,0.17,0.9063
31,Punjab and Sind Bank,55.66,0.8985,0.0952,0.0063,0.35,0.7158
32,City Union Bank,54.12,0.9075,0.0913,0.0012,0.12,0.9717
33,Ujjivan Small Finance Bank Limited,53.09,0.9311,0.0629,0.006,0.25,0.6905
34,Tamilnad Mercantile Bank Limited,51.92,0.9134,0.0814,0.0052,0.19,0.6301
35,JIO Payments Bank Ltd,48.73,0.7872,0.1405,0.0723,0.83,0.4837
36,Kerala Gramin Bank,43.54,0.9133,0.0735,0.0132,0.34,0.6235
37,Baroda U.P. Bank,43.22,0.9027,0.0722,0.0251,0.38,0.4446
38,Telangana Grameena Bank,37.03,0.8367,0.1291,0.0342,0.45,0.4045
39,Karnataka Gramin Bank,36,0.8858,0.1027,0.0116,0.27,0.8293
40,Maharashtra Gramin Bank,35.59,0.8614,0.1237,0.015,0.17,0.6021
41,RBL Bank Ltd.,34.99,0.9249,0.0698,0.0053,0.12,0.6684
42,NSDL Payments Bank Limited,34.89,0.692,0.1922,0.1158,1.07,0.1658
43,Rajasthan Marudhara Gramin Bank,34.54,0.8078,0.1751,0.0171,0.32,0.6034
44,DBS Bank India Limited,32.09,0.9195,0.0804,0.0001,0.09,0.9435
45,ESAF Small Finance Bank Ltd,31.85,0.915,0.0425,0.0426,0.36,0.516
46,Equitas Small Finance Bank,31.5,0.902,0.0943,0.0037,0.1,0.8949
47,Saraswat Co-operative Bank,29.58,0.9349,0.0601,0.005,0.1,0.6623
48,Andhra Pragathi Grameena Bank,28.26,0.8393,0.1216,0.0391,0.59,0.8253
49,Standard Chartered Bank,27.87,0.9583,0.0414,0.0003,0.06,0.9192
50,Sarva Haryana Gramin Bank,23.93,0.9363,0.0459,0.0177,0.21,0.5159
