UPI Remitter Members - Top 50 Members (May'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
SrNo,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,4972.91,0.9387,0.0588,0.0025,12.1,0.9508
2,HDFC Bank Ltd.,1512.37,0.9502,0.0486,0.0012,2.28,0.9993
3,Bank of Baroda,1262.84,0.9127,0.0864,0.0009,2.65,0.9859
4,Union Bank of India,1168.19,0.932,0.0672,0.0009,2.44,0.9406
5,Punjab National Bank,1068.01,0.926,0.072,0.002,2.57,0.9674
6,Kotak Mahindra Bank,927.5,0.924,0.0751,0.0009,1.84,0.6198
7,Canara Bank,903.21,0.9309,0.0684,0.0007,1.87,0.899
8,Axis Bank Ltd.,852.6,0.9485,0.0515,0,1.38,0.9976
9,ICICI Bank Ltd.,713.35,0.9615,0.0384,0.0001,1.01,0.9836
10,Indian Bank,593.72,0.9295,0.0674,0.0031,1.21,0.904
11,Bank Of India,587.21,0.9256,0.0644,0.0099,2.86,0.5396
12,India Post Payments Bank Limited,576.1,0.8908,0.1071,0.0021,1.72,0.9244
13,Airtel Payments Bank Limited,573.79,0.8666,0.1292,0.0042,2.11,0.9148
14,Indian Overseas Bank,298.9,0.9295,0.0675,0.003,0.66,0.9666
15,Central Bank of India,265.24,0.8888,0.106,0.0052,0.85,0.9213
16,UCO Bank,259.36,0.9165,0.082,0.0015,0.66,0.8951
17,Federal Bank Ltd.,251.18,0.9302,0.0687,0.0011,0.4,0.9836
18,Fino Payments Bank Ltd.,213.85,0.8843,0.1133,0.0023,0.81,0.727
19,Bank of Maharashtra,204.66,0.9347,0.0636,0.0018,0.58,0.7416
20,Indusind Bank Ltd.,203.19,0.9035,0.0948,0.0016,0.61,0.7439
21,IDBI Bank Ltd.,199.11,0.9343,0.061,0.0047,0.72,0.8519
22,Yes Bank Ltd.,175.35,0.9204,0.0787,0.0009,0.26,0.7873
23,Karnataka Bank,140.77,0.9233,0.0745,0.0021,0.34,0.8109
24,IDFC Bank Ltd.,113.06,0.9344,0.0651,0.0005,0.22,0.9055
25,Tri O Tech Solutions Private Limited,110.06,1,0,0,-,0
26,The Jammu & Kashmir Bank Limited,96.68,0.9237,0.0645,0.0118,0.7,0.3844
27,Karur Vysya Bank,90.61,0.9323,0.0662,0.0014,0.19,0.8809
28,Bandhan Bank limited,86.69,0.9447,0.0529,0.0024,0.28,0.9282
29,AU Small Finance Bank,73.85,0.9028,0.0943,0.0029,0.2,0.8987
30,The South Indian Bank Limited,69.84,0.9478,0.0511,0.0011,0.1,0.9807
31,Punjab and Sind Bank,56.71,0.9183,0.0764,0.0053,0.28,0.7908
32,City Union Bank,53.56,0.9211,0.0772,0.0017,0.09,0.9907
33,Ujjivan Small Finance Bank Limited,52.91,0.9319,0.0662,0.0019,0.13,0.9142
34,Tamilnad Mercantile Bank Limited,52.51,0.9278,0.0705,0.0017,0.09,0.9246
35,JIO Payments Bank Ltd,52.13,0.8389,0.1536,0.0074,0.31,0.8675
36,Baroda U.P. Bank,45.69,0.9148,0.0648,0.0204,0.39,0.3516
37,Kerala Gramin Bank,44.18,0.9181,0.0717,0.0102,0.32,0.6837
38,Telangana Grameena Bank,37.79,0.8889,0.1041,0.007,0.23,0.7272
39,RBL Bank Ltd.,35.46,0.9376,0.0557,0.0067,0.1,0.6182
40,Maharashtra Gramin Bank,35.09,0.8613,0.1235,0.0152,0.18,0.6295
41,NSDL Payments Bank Limited,35.02,0.8406,0.1548,0.0045,0.17,0.7748
42,Karnataka Gramin Bank,34.59,0.8938,0.0926,0.0136,0.32,0.5234
43,Rajasthan Marudhara Gramin Bank,32.88,0.8688,0.125,0.0062,0.18,0.3349
44,ESAF Small Finance Bank Ltd,32.02,0.9576,0.0406,0.0019,0.07,0.928
45,DBS Bank India Limited,31.69,0.9336,0.0653,0.0012,0.06,0.9401
46,Equitas Small Finance Bank,30.47,0.9132,0.0847,0.0021,0.07,0.9898
47,Saraswat Co-operative Bank,28.72,0.9509,0.0488,0.0004,0.05,0.9903
48,Andhra Pragathi Grameena Bank,28.62,0.8484,0.1231,0.0285,0.18,0.3841
49,Standard Chartered Bank,28.24,0.9589,0.0367,0.0043,0.08,0.4342
50,Sarva Haryana Gramin Bank,26.07,0.9017,0.0696,0.0287,0.28,0.4362
