UPI Remitter Members - Top 50 Members (Nov'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"4,182.13",93.11%,6.32%,0.57%,11.62,95.24%
2,HDFC Bank Ltd.,"1,305.92",94.07%,5.83%,0.09%,3.64,98.16%
3,Bank of Baroda,"1,035.67",92.10%,7.85%,0.04%,2.98,97.92%
4,Union Bank Of India,990.08,92.48%,7.29%,0.23%,3.33,79.15%
5,Punjab national Bank,881.89,91.05%,8.85%,0.10%,2.69,98.84%
6,Kotak Mahindra Bank,804.07,90.49%,9.28%,0.23%,2.31,90.77%
7,Axis Bank Ltd.,764.59,94.20%,5.78%,0.01%,1.93,98.27%
8,Canara Bank,760.29,92.32%,7.25%,0.43%,2.87,79.06%
9,ICICI Bank Ltd.,651.55,95.26%,4.56%,0.18%,1.65,96.03%
10,Bank Of India,497.26,91.80%,6.55%,1.65%,3.73,46.64%
11,Indian Bank,484.60,92.78%,7.05%,0.17%,1.58,84.18%
12,Airtel Payments Bank Ltd.,471.39,87.28%,11.79%,0.93%,2.74,82.86%
13,India Post Payments Bank Ltd.,410.33,86.44%,11.98%,1.58%,1.80,68.20%
14,Indian Overseas Bank,232.93,93.11%,6.67%,0.22%,0.88,91.20%
15,Federal Bank Ltd.,230.20,91.80%,8.01%,0.19%,0.57,97.78%
16,Central Bank of India,223.46,86.59%,12.34%,1.07%,0.90,80.64%
17,UCO Bank,206.37,91.88%,8.02%,0.10%,0.68,89.84%
18,Indusind Bank Ltd.,172.82,88.99%,10.73%,0.29%,0.64,88.52%
19,IDBI Bank Ltd.,171.56,93.05%,6.79%,0.16%,0.57,91.58%
20,Bank of Maharashtra,167.64,92.54%,7.31%,0.15%,0.49,89.66%
21,Fino Payments Bank Ltd.,161.47,92.82%,7.06%,0.12%,0.69,90.58%
22,YES Bank Ltd.,155.30,83.24%,16.36%,0.40%,0.52,58.31%
23,Karnataka Bank,122.37,91.67%,7.33%,1.01%,0.56,66.08%
24,IDFC Bank Ltd.,93.14,91.39%,8.41%,0.20%,0.16,0.29%
25,The Jammu & Kashmir Bank Limited,76.44,90.29%,5.42%,4.29%,1.42,17.72%
26,Karur Vysya Bank,76.29,92.70%,7.11%,0.19%,0.21,95.76%
27,Bandhan Bank limited,70.96,93.36%,5.09%,1.55%,0.39,88.49%
28,AU Small Finance Bank,70.55,88.57%,11.23%,0.20%,0.22,97.17%
29,Tri O Tech Solutions Private Limited,67.20,100.00%,0.00%,0.00%,-,-
30,The South Indian Bank Limited,62.85,94.65%,5.28%,0.07%,0.13,99.31%
31,Punjab and Sind Bank,45.44,91.51%,8.40%,0.10%,0.18,97.14%
32,Ujjivan Small Finance Bank Limited,45.21,94.64%,4.99%,0.38%,0.17,81.70%
33,City Union Bank,44.74,92.56%,7.28%,0.16%,0.10,99.52%
34,Tamilnad Mercantile Bank Limited,42.47,91.84%,7.70%,0.46%,0.13,75.60%
35,Kerala Gramin Bank,39.89,87.74%,6.37%,5.89%,0.74,64.31%
36,Equitas Small Finance Bank,31.78,91.99%,7.98%,0.03%,0.10,98.07%
37,Andhra Pradesh Grameena Vikas Bank,31.66,82.74%,11.59%,5.67%,0.36,65.41%
38,Karnataka Gramin Bank,30.31,88.07%,8.52%,3.41%,0.38,72.85%
39,Baroda U.P. Bank,29.74,91.65%,6.65%,1.69%,0.28,44.05%
40,JIO Payments Bank Ltd,28.80,87.77%,10.99%,1.24%,0.21,99.25%
41,DBS Bank India Limited,28.24,92.03%,7.53%,0.44%,0.11,71.54%
42,ESAF Small Finance Bank Ltd,27.19,95.50%,4.39%,0.11%,0.08,98.12%
43,Rajasthan Marudhara Gramin Bank,26.47,85.94%,11.80%,2.26%,0.11,81.31%
44,Standard Chartered Bank,25.87,95.57%,3.79%,0.64%,0.08,81.38%
45,Maharashtra Gramin Bank,25.80,86.35%,12.55%,1.09%,0.11,64.26%
46,Saraswat Co-operative Bank,25.49,93.87%,5.99%,0.14%,0.08,87.37%
47,NSDL Payments Bank Limited,24.28,86.08%,12.61%,1.31%,0.20,6.11%
48,RBL Bank Ltd.,23.47,91.69%,7.95%,0.35%,0.09,63.63%
49,Andhra Pragathi Grameena Bank,21.61,83.33%,10.78%,5.89%,0.38,53.99%
50,Sarva Haryana Gramin Bank,20.09,93.42%,6.14%,0.44%,0.11,68.48%
