UPI Remitter Members - Top 50 Members (Oct'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,531.27",92.89%,6.56%,0.55%,16.13,93.05%
2,HDFC Bank Ltd.,"1,638.91",95.09%,4.89%,0.02%,3.91,98.04%
3,Bank of Baroda,"1,438.02",91.21%,8.75%,0.04%,4.34,99.10%
4,Union Bank of India,"1,282.39",92.53%,7.43%,0.04%,3.56,93.12%
5,Punjab National Bank,"1,156.34",90.06%,9.73%,0.21%,4.31,88.88%
6,Kotak Mahindra Bank,"1,031.11",92.04%,7.93%,0.03%,2.55,97.62%
7,Canara Bank,"1,014.04",92.52%,7.42%,0.06%,2.56,95.72%
8,Axis Bank Ltd.,954.46,94.92%,5.08%,0.00%,2.00,98.81%
9,ICICI Bank Ltd.,769.72,95.94%,4.05%,0.01%,1.39,99.60%
10,India Post Payments Bank Limited,712.41,85.72%,13.54%,0.74%,3.80,81.92%
11,Indian Bank,687.32,92.42%,7.47%,0.11%,1.80,95.19%
12,Airtel Payments Bank Limited,671.92,83.17%,16.77%,0.06%,2.95,99.32%
13,Bank Of India,642.99,93.23%,6.46%,0.31%,2.64,89.57%
14,Indian Overseas Bank,350.56,93.12%,6.82%,0.07%,1.02,97.18%
15,Central Bank of India,333.63,90.91%,8.58%,0.51%,1.50,88.89%
16,UCO Bank,296.04,90.21%,9.46%,0.33%,1.15,91.39%
17,Federal Bank Ltd.,273.16,93.13%,6.84%,0.04%,0.54,99.49%
18,Fino Payments Bank Ltd.,248.52,83.26%,14.88%,1.86%,1.09,88.62%
19,Bank of Maharashtra,230.93,93.50%,6.37%,0.13%,0.65,86.53%
20,Indusind Bank Ltd.,225.19,88.93%,10.76%,0.31%,0.97,69.45%
21,IDBI Bank Ltd.,210.68,93.70%,5.93%,0.37%,0.63,76.49%
22,Yes Bank Ltd.,189.91,91.86%,8.05%,0.09%,0.33,85.78%
23,Karnataka Bank,147.34,92.27%,7.53%,0.20%,0.57,93.86%
24,Tri O Tech Solutions Private Limited,145.04,100.00%,0.00%,0.00%,-,0.00%
25,IDFC Bank Ltd.,121.18,92.94%,6.95%,0.12%,0.31,91.77%
26,The Jammu & Kashmir Bank Limited,103.76,92.63%,6.05%,1.32%,0.73,47.98%
27,Karur Vysya Bank,95.19,92.21%,7.40%,0.38%,0.27,78.50%
28,BANDHAN BANK LIMITED,94.16,94.98%,4.68%,0.34%,0.37,98.35%
29,AU Small Finance Bank,82.21,87.77%,10.42%,1.81%,0.63,42.32%
30,The South Indian Bank Limited,76.87,94.75%,5.19%,0.06%,0.14,97.24%
31,JIO Payments Bank Ltd,71.17,85.77%,13.86%,0.37%,0.55,94.36%
32,Punjab and Sind Bank,61.44,86.20%,8.82%,4.98%,0.77,42.63%
33,Uttar Pradesh Gramin Bank,61.35,89.55%,5.84%,4.61%,0.89,46.50%
34,NSDL Payments Bank Limited,58.08,82.56%,17.11%,0.33%,0.37,90.05%
35,City Union Bank,57.97,92.33%,7.51%,0.16%,0.13,99.47%
36,Tamilnad Mercantile Bank Limited,57.59,92.63%,6.98%,0.39%,0.15,84.16%
37,Ujjivan Small Finance Bank Limited,56.36,90.20%,9.18%,0.62%,0.22,77.59%
38,Kerala Gramin Bank,51.97,91.01%,6.91%,2.08%,0.35,71.49%
39,Rajasthan Gramin Bank,47.67,86.98%,12.21%,0.81%,0.40,57.06%
40,Karnataka Gramin Bank,44.83,83.94%,12.24%,3.82%,0.71,56.17%
41,Telangana Grameena Bank,42.49,87.93%,10.00%,2.07%,0.40,33.13%
42,Maharashtra Gramin Bank,37.14,85.22%,13.29%,1.49%,0.21,45.64%
43,ESAF Small Finance Bank Ltd,35.02,95.61%,4.16%,0.23%,0.10,96.51%
44,Slice Small Finance Bank Limited,34.08,95.78%,3.89%,0.33%,0.16,81.20%
45,Saraswat Co-operative Bank,32.19,94.70%,4.70%,0.59%,0.10,72.24%
46,DBS Bank India Limited,31.38,92.84%,7.15%,0.01%,0.07,96.29%
47,RBL Bank Ltd.,29.59,91.84%,8.06%,0.10%,0.06,87.04%
48,Equitas Small Finance Bank,29.10,91.05%,8.67%,0.28%,0.09,84.10%
49,Sarva Haryana Gramin Bank,27.74,92.99%,6.01%,1.00%,0.17,68.88%
50,Standard Chartered Bank,23.00,96.32%,3.62%,0.06%,0.04,90.06%
