UPI Remitter Members - Top 50 Members (Sep'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
SrNo,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,275.12",93.04%,6.32%,0.64%,17.37,91.38%
2,HDFC Bank Ltd.,"1,536.13",95.06%,4.94%,0.01%,3.51,97.83%
3,Bank of Baroda,"1,356.34",91.15%,8.73%,0.13%,4.21,97.01%
4,Union Bank of India,"1,215.12",92.80%,7.15%,0.05%,3.43,92.32%
5,Punjab National Bank,"1,118.17",89.93%,9.93%,0.14%,3.60,96.60%
6,Kotak Mahindra Bank,965.85,92.30%,7.60%,0.10%,2.50,94.28%
7,Canara Bank,962.60,92.52%,7.19%,0.28%,2.71,86.72%
8,Axis Bank Ltd.,902.48,94.95%,5.04%,0.01%,1.96,96.25%
9,ICICI Bank Ltd.,730.11,95.92%,4.07%,0.01%,1.36,97.44%
10,India Post Payments Bank Limited,657.46,85.38%,13.18%,1.44%,4.61,59.76%
11,Indian Bank,647.09,92.65%,7.16%,0.20%,1.77,1.77%
12,Airtel Payments Bank Limited,626.60,84.66%,15.11%,0.23%,3.30,96.95%
13,Bank Of India,603.94,93.55%,6.26%,0.19%,2.34,89.43%
14,Indian Overseas Bank,329.04,93.42%,6.32%,0.26%,1.24,74.44%
15,Central Bank of India,311.91,91.34%,7.99%,0.66%,1.41,91.49%
16,UCO Bank,281.68,90.75%,8.47%,0.79%,1.56,66.23%
17,Federal Bank Ltd.,259.32,93.47%,6.48%,0.05%,0.58,97.05%
18,Fino Payments Bank Ltd.,231.13,85.06%,13.61%,1.32%,1.07,86.03%
19,Indusind Bank Ltd.,213.90,89.60%,10.10%,0.30%,0.91,73.64%
20,Bank of Maharashtra,213.37,93.20%,6.49%,0.30%,0.76,72.18%
21,IDBI Bank Ltd.,201.57,93.14%,6.35%,0.51%,0.69,76.64%
22,Yes Bank Ltd.,163.15,90.69%,9.17%,0.14%,0.33,82.27%
23,Karnataka Bank,141.24,92.61%,7.22%,0.16%,0.42,86.07%
24,Tri O Tech Solutions Private Limited,139.13,100.00%,0.00%,0.00%,-,0.00%
25,IDFC Bank Ltd.,114.40,93.30%,6.67%,0.03%,0.29,93.12%
26,The Jammu & Kashmir Bank Limited,94.62,93.33%,6.20%,0.47%,0.43,60.30%
27,Karur Vysya Bank,92.71,92.73%,6.88%,0.40%,0.28,89.51%
28,BANDHAN BANK LIMITED,91.72,94.77%,4.91%,0.32%,0.40,90.53%
29,AU Small Finance Bank,77.16,89.48%,9.86%,0.66%,0.35,75.21%
30,The South Indian Bank Limited,73.96,94.74%,4.96%,0.30%,0.14,98.20%
31,HDFC Bank Credit Card HCB,63.77,95.82%,4.15%,0.03%,0.15,98.27%
32,JIO Payments Bank Ltd,63.71,86.30%,13.00%,0.70%,0.41,95.72%
33,Punjab and Sind Bank,59.04,90.10%,8.39%,1.51%,0.43,62.60%
34,City Union Bank,56.06,92.58%,7.27%,0.15%,0.13,96.36%
35,Tamilnad Mercantile Bank Limited,55.19,92.93%,6.80%,0.28%,0.15,89.39%
36,Baroda U.P. Bank,54.02,85.15%,4.64%,10.22%,1.45,43.42%
37,Ujjivan Small Finance Bank Limited,53.83,91.01%,8.54%,0.45%,0.20,85.00%
38,NSDL Payments Bank Limited,50.72,83.80%,14.81%,1.40%,0.43,71.15%
39,Kerala Gramin Bank,49.94,87.81%,6.32%,5.88%,0.88,66.18%
40,SBI Cards and Payment Services Limited,44.04,95.53%,4.30%,0.18%,0.14,97.10%
41,Rajasthan Marudhara Gramin Bank,42.78,86.27%,11.97%,1.76%,0.42,43.83%
42,Telangana Grameena Bank,39.87,88.26%,9.30%,2.44%,0.37,39.15%
43,ESAF Small Finance Bank Ltd,34.03,95.80%,4.06%,0.14%,0.11,88.78%
44,ICICI Bank Credit Card,32.88,95.93%,4.02%,0.05%,0.07,97.11%
45,Andhra Pragathi Grameena Bank,31.46,83.27%,13.51%,3.22%,0.15,63.33%
46,Karnataka Gramin Bank,31.17,83.04%,11.11%,5.85%,0.60,37.60%
47,Maharashtra Gramin Bank,30.47,83.19%,13.69%,3.12%,0.23,50.40%
48,DBS Bank India Limited,30.33,93.33%,6.61%,0.07%,0.08,94.32%
49,RBL Bank Ltd.,29.74,92.70%,6.77%,0.53%,0.10,52.60%
50,Saraswat Co-operative Bank,29.27,94.81%,4.68%,0.51%,0.09,77.34%
