month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2024-04,Yes Bank Ltd,Beneficiary,5076.4,99.97,0.01,0.02,5074.88,0.03
2024-04,State Bank Of India,Beneficiary,1512.29,99.01,0.89,0.11,1497.32,1
2024-04,Axis Bank Ltd.,Beneficiary,1248.35,99.92,0,0.08,1247.35,0.08
2024-04,HDFC BANK LTD,Beneficiary,625.05,98.74,0.07,1.19,617.17,1.26
2024-04,ICICI Bank,Beneficiary,606.73,99.58,0.02,0.4,604.18,0.42
2024-04,Bank of Baroda,Beneficiary,376.04,98.51,0.49,1.01,370.44,1.5
2024-04,Federal Bank,Beneficiary,373.7,99.74,0.03,0.23,372.73,0.26
2024-04,Union Bank of India,Beneficiary,346.48,97.99,1.88,0.13,339.52,2.01
2024-04,Punjab National Bank,Beneficiary,311.53,98.62,0.99,0.39,307.23,1.38
2024-04,Canara Bank,Beneficiary,297.27,98.17,0.59,1.24,291.83,1.83
2024-04,Kotak Mahindra Bank,Beneficiary,283.22,97.82,1.05,1.13,277.05,2.18
2024-04,Airtel Payments Bank,Beneficiary,253.57,99.19,0.58,0.23,251.52,0.81
2024-04,Indian Bank,Beneficiary,220.9,98.97,0.11,0.91,218.62,1.02
2024-04,Bank of India,Beneficiary,197.52,98.76,0.84,0.4,195.07,1.24
2024-04,INDUSIND BANK,Beneficiary,124.15,98.54,0.64,0.83,122.34,1.47
2024-04,India Post Payment Bank,Beneficiary,111.72,98.04,0.65,1.3,109.53,1.95
2024-04,Central Bank Of India,Beneficiary,92.14,97.91,1.73,0.36,90.21,2.09
2024-04,Indian Overseas Bank,Beneficiary,87.08,98.24,1.31,0.45,85.55,1.76
2024-04,UCO Bank,Beneficiary,84.09,98.49,0.81,0.7,82.82,1.51
2024-04,Fino Payments Bank Limited,Beneficiary,65.46,96.15,0.66,3.18,62.94,3.84
2024-04,IDBI Bank Limited,Beneficiary,65.04,98.63,0.93,0.44,64.15,1.37
2024-04,Bank of Maharashtra,Beneficiary,60.58,98.65,1.16,0.19,59.76,1.35
2024-04,RBL Bank Limited,Beneficiary,52.02,97.84,0.15,2.01,50.9,2.16
2024-04,Karnataka Bank,Beneficiary,46.09,97.89,0.88,1.23,45.12,2.11
2024-04,IDFC FIRST Bank,Beneficiary,35.26,98.6,0.11,1.28,34.77,1.39
2024-04,Karur Vysya Bank,Beneficiary,34.16,98.29,0.52,1.19,33.58,1.71
2024-04,Bandhan Bank,Beneficiary,33.71,97.87,1.85,0.28,32.99,2.13
2024-04,South Indian Bank,Beneficiary,32.2,98.4,0.11,1.49,31.68,1.6
2024-04,AU small Finance Bank,Beneficiary,28.54,96.21,0.73,3.06,27.46,3.79
2024-04,Jammu and Kashmir Bank,Beneficiary,27.28,99.07,0.28,0.66,27.03,0.94
2024-04,Tamilnad Mercantile Bank,Beneficiary,23.83,99.39,0.51,0.1,23.68,0.61
2024-04,Tri O Tech Solutions Private Limited,Beneficiary,23.07,95.36,0.15,4.5,22,4.65
2024-04,Ujjivan Small Finance Bank,Beneficiary,21.39,98.93,0.15,0.92,21.16,1.07
2024-04,City Union Bank,Beneficiary,20.6,97.95,0.24,1.82,20.18,2.06
2024-04,Kerala Gramin Bank,Beneficiary,14.82,98.92,0.77,0.3,14.66,1.07
2024-04,Punjab and Sind Bank,Beneficiary,14.56,92.73,6.48,0.79,13.5,7.27
2024-04,Equitas Small Finance Bank,Beneficiary,14.05,98.23,0.27,1.5,13.8,1.77
2024-04,Andhra Pradesh Grameena Vikas Bank,Beneficiary,13.65,98.85,0.59,0.56,13.49,1.15
2024-04,Pragathi Krishna Gramin Bank,Beneficiary,13.14,97.54,2.07,0.4,12.82,2.47
2024-04,Jio Payments Bank,Beneficiary,13.01,98.77,0.86,0.37,12.85,1.23
2024-04,Maharashtra Gramin Bank,Beneficiary,11.84,97.53,2.14,0.33,11.55,2.47
2024-04,DBS Bank India Limited,Beneficiary,11.43,97.26,0.95,1.79,11.12,2.74
2024-04,Rajasthan Marudhara Gramin Bank,Beneficiary,11.34,99.43,0.19,0.38,11.28,0.57
2024-04,Baroda UP Gramin Bank,Beneficiary,11.01,88.1,11.26,0.65,9.7,11.91
2024-04,Fincare Small Finance Bank Ltd,Beneficiary,10.5,96.19,0.53,3.29,10.1,3.82
2024-04,ESAF Small Finance Bank Ltd.,Beneficiary,10.43,99.68,0.19,0.13,10.4,0.32
2024-04,Citi Bank,Beneficiary,9.88,99.81,0.19,0,9.86,0.19
2024-04,Andhra Pragathi Grameena Bank,Beneficiary,9.29,95.43,3.4,1.17,8.87,4.57
2024-04,Sarva Haryana Gramin Bank,Beneficiary,7.88,99,0.62,0.38,7.8,1
2024-04,Saraswat Bank,Beneficiary,7.64,96.99,0.62,2.39,7.41,3.01
2025-04,Yes Bank Ltd.,Beneficiary,7312.77,0.9999,0,0.0001,73.12,0.0001
2025-04,Axis Bank Ltd.,Beneficiary,1822.48,0.9995,0,0.0005,18.22,0.0005
2025-04,State Bank of India,Beneficiary,1767.09,0.9926,0.0064,0.001,17.54,0.0074
2025-04,HDFC Bank Ltd.,Beneficiary,857.29,0.9917,0.0002,0.0081,8.5,0.0083
2025-04,ICICI Bank Ltd.,Beneficiary,565.73,0.9964,0.0012,0.0024,5.64,0.0036
2025-04,Bank of Baroda,Beneficiary,474.07,0.999,0.0003,0.0007,4.74,0.001
2025-04,Union Bank of India,Beneficiary,434.62,0.9943,0.0047,0.001,4.32,0.0057
