month_year,bank_name,role_type,total_volume_mn,approved_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,total_decline_pct
2024-04,State Bank Of India,Remitter,3581.27,3369.98,94.1,89,5.01,94.01
2024-04,HDFC BANK LTD,Remitter,1157.04,1108.68,95.82,9,4.08,13.08
2024-04,Bank of Baroda,Remitter,898.17,811.86,90.39,1.59,8.02,9.61
2024-04,Union Bank of India,Remitter,837.24,779.72,93.13,1.59,5.28,6.87
2024-04,Punjab National Bank,Remitter,741.9,689.67,92.96,1.11,5.93,7.04
2024-04,Kotak Mahindra Bank,Remitter,725.32,665.63,91.77,1.78,6.45,8.23
2024-04,Canara Bank,Remitter,642.1,599.66,93.39,66,5.95,71.95
2024-04,Axis Bank Ltd.,Remitter,609.02,583.08,95.74,3,4.23,7.23
2024-04,ICICI Bank,Remitter,599.22,577.47,96.37,8,3.55,11.55
2024-04,Bank of India,Remitter,439.7,411.87,93.67,1.31,5.02,6.33
2024-04,Indian Bank,Remitter,407.28,382.72,93.97,15,5.88,20.88
2024-04,Airtel Payments Bank,Remitter,395.64,358.53,90.62,72,8.66,80.66
2024-04,India Post Payment Bank,Remitter,270.23,223.97,82.88,1.16,15.95,17.11
2024-04,Federal Bank,Remitter,206.55,195.6,94.7,4,5.26,9.26
2024-04,Central Bank Of India,Remitter,200.6,171.27,85.38,3.83,10.79,14.62
2024-04,Indian Overseas Bank,Remitter,187.73,175.04,93.24,1.74,5.02,6.76
2024-04,UCO Bank,Remitter,171.92,161.09,93.7,16,6.14,22.14
2024-04,Bank of Maharashtra,Remitter,151.41,141.02,93.14,1.39,5.47,6.86
2024-04,IDBI Bank Limited,Remitter,151.25,142.54,94.24,51,5.24,56.24
2024-04,INDUSIND BANK,Remitter,150.57,138.6,92.05,89,7.07,96.07
2024-04,Fino Payments Bank Limited,Remitter,134.12,121.9,90.89,51,8.59,59.59
2024-04,Yes Bank Ltd,Remitter,106.01,98.52,92.93,53,6.53,59.53
2024-04,Karnataka Bank,Remitter,105.44,97.65,92.61,1.05,6.33,7.38
2024-04,IDFC FIRST Bank,Remitter,83.34,77.41,92.89,13,6.98,19.98
2024-04,Karur Vysya Bank,Remitter,65.73,61.77,93.97,22,5.82,27.82
2024-04,Jammu and Kashmir Bank,Remitter,58.65,55.17,94.07,1.16,4.77,5.93
2024-04,Bandhan Bank,Remitter,55.96,51.74,92.46,1.81,5.73,7.54
2024-04,South Indian Bank,Remitter,52.51,50.09,95.4,12,4.47,16.47
