month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2024-04,State Bank Of India,Remitter,3581.27,94.1,89,5.01,3369.98,94.01
2024-04,HDFC BANK LTD,Remitter,1157.04,95.82,9,4.08,1108.68,13.08
2024-04,Bank of Baroda,Remitter,898.17,90.39,1.59,8.02,811.86,9.61
2024-04,Union Bank of India,Remitter,837.24,93.13,1.59,5.28,779.72,6.87
2024-04,Punjab National Bank,Remitter,741.9,92.96,1.11,5.93,689.67,7.04
2024-04,Kotak Mahindra Bank,Remitter,725.32,91.77,1.78,6.45,665.63,8.23
2024-04,Canara Bank,Remitter,642.1,93.39,66,5.95,599.66,71.95
2024-04,Axis Bank Ltd.,Remitter,609.02,95.74,3,4.23,583.08,7.23
2024-04,ICICI Bank,Remitter,599.22,96.37,8,3.55,577.47,11.55
2024-04,Bank of India,Remitter,439.7,93.67,1.31,5.02,411.87,6.33
2024-04,Indian Bank,Remitter,407.28,93.97,15,5.88,382.72,20.88
2024-04,Airtel Payments Bank,Remitter,395.64,90.62,72,8.66,358.53,80.66
2024-04,India Post Payment Bank,Remitter,270.23,82.88,1.16,15.95,223.97,17.11
2024-04,Federal Bank,Remitter,206.55,94.7,4,5.26,195.6,9.26
2024-04,Central Bank Of India,Remitter,200.6,85.38,3.83,10.79,171.27,14.62
2024-04,Indian Overseas Bank,Remitter,187.73,93.24,1.74,5.02,175.04,6.76
2024-04,UCO Bank,Remitter,171.92,93.7,16,6.14,161.09,22.14
2024-04,Bank of Maharashtra,Remitter,151.41,93.14,1.39,5.47,141.02,6.86
2024-04,IDBI Bank Limited,Remitter,151.25,94.24,51,5.24,142.54,56.24
2024-04,INDUSIND BANK,Remitter,150.57,92.05,89,7.07,138.6,96.07
2024-04,Fino Payments Bank Limited,Remitter,134.12,90.89,51,8.59,121.9,59.59
2024-04,Yes Bank Ltd,Remitter,106.01,92.93,53,6.53,98.52,59.53
2024-04,Karnataka Bank,Remitter,105.44,92.61,1.05,6.33,97.65,7.38
2024-04,IDFC FIRST Bank,Remitter,83.34,92.89,13,6.98,77.41,19.98
2024-04,Karur Vysya Bank,Remitter,65.73,93.97,22,5.82,61.77,27.82
2024-04,Jammu and Kashmir Bank,Remitter,58.65,94.07,1.16,4.77,55.17,5.93
2024-04,Bandhan Bank,Remitter,55.96,92.46,1.81,5.73,51.74,7.54
2024-04,South Indian Bank,Remitter,52.51,95.4,12,4.47,50.09,16.47
2024-04,Tri O Tech Solutions Private Limited,Remitter,46.64,100,0,0,46.64,0
2024-04,AU small Finance Bank,Remitter,45.86,92.76,1.05,6.19,42.54,7.24
2024-04,Ujjivan Small Finance Bank,Remitter,42.92,94.15,24,5.62,40.41,29.62
2024-04,City Union Bank,Remitter,39.67,92.8,29,6.91,36.81,35.91
2024-04,Tamilnad Mercantile Bank,Remitter,36.11,91.84,59,7.57,33.16,66.57
2024-04,Punjab and Sind Bank,Remitter,34.51,82.94,9.01,8.05,28.62,17.06
2024-04,Equitas Bank,Remitter,32.32,92.77,7,7.15,29.98,14.15
2024-04,Andhra Pradesh Grameena Vikas Bank,Remitter,29.08,85.16,1.78,13.06,24.76,14.84
2024-04,Kerala Gramin Bank,Remitter,27.5,92.37,1.42,6.21,25.4,7.63
2024-04,Pragathi Krishna Gramin Bank,Remitter,26.83,88.21,3.72,8.07,23.67,11.79
2024-04,DBS Bank India Limited,Remitter,26.42,94.37,17,5.46,24.93,22.46
2024-04,Maharashtra Gramin Bank,Remitter,25.64,85.76,2.54,11.7,21.99,14.24
2024-04,Rajasthan Marudhara Gramin Bank,Remitter,24.19,86.99,99,12.02,21.04,111.02
2024-04,Standard Chartered,Remitter,24.01,96.49,66,2.85,23.17,68.85
2024-04,Saraswat Bank,Remitter,23.34,94.9,62,4.48,22.15,66.48
2024-04,Baroda UP Gramin Bank,Remitter,22.48,75.41,15.41,9.17,16.95,24.58
2024-04,Fincare Small Finance Bank Ltd,Remitter,21.68,84.95,59,14.46,18.42,73.46
2024-04,ESAF Small Finance Bank Ltd.,Remitter,21.48,94.68,40,4.92,20.34,44.92
2024-04,Citi Bank,Remitter,19.73,96.53,36,3.11,19.05,39.11
2024-04,Sarva Haryana Gramin Bank,Remitter,18.34,91.76,74,7.5,16.83,81.5
2024-04,Andhra Pragathi Grameena Bank,Remitter,18.19,79.51,5.92,14.58,14.46,20.5
2024-04,RBL Bank Limited,Remitter,15.1,89.02,72,10.26,13.44,82.26
2025-04,State Bank of India,Remitter,4850.52,91.83,0.75,7.42,4454.23,8.17
2025-04,HDFC Bank Ltd.,Remitter,1471.2,94.26,0,5.74,1386.75,5.74
2025-04,Bank of Baroda,Remitter,1243.19,89.74,0.01,10.25,1115.64,10.26
