bank_name,role_type,total_months_tracked,breach_months_count,breach_consistency_pct,avg_td_pct,peak_td_pct,total_lost_transactions_mn
"State Bank Of India",Remitter,30,23,76.7,28.46,94.00,39087.35
"Punjab National Bank",Remitter,30,23,76.7,25.58,91.00,8405.67
"Canara Bank",Remitter,30,23,76.7,33.92,98.00,8345.26
"Bank of Baroda",Remitter,30,21,70.0,15.28,95.00,5167.53
"Union Bank of India",Remitter,30,20,66.7,14.89,75.00,5000.73
"India Post Payments Bank Limited",Remitter,17,12,70.6,33.53,93.00,4412.63
"Bank of India",Remitter,30,25,83.3,23.68,90.00,3869.60
"Central Bank Of India",Remitter,30,23,76.7,27.20,93.00,2625.04
"Indian Bank",Remitter,30,22,73.3,14.03,52.00,2443.61
"Kotak Mahindra Bank",Remitter,29,16,55.2,9.44,68.00,2315.18
"Airtel Payments Bank Limited",Remitter,20,14,70.0,13.73,34.00,1885.37
"UCO Bank",Remitter,30,23,76.7,19.46,91.00,1356.93
"ICICI Bank Ltd.",Remitter,24,13,54.2,7.35,52.00,1296.36
"HDFC BANK LTD",Remitter,7,5,71.4,15.71,69.00,1212.09
"IDBI Bank Ltd.",Remitter,21,13,61.9,21.84,83.00,976.67
"Bank of Maharashtra",Remitter,30,21,70.0,15.50,97.00,913.95
"Indian Overseas Bank",Remitter,30,23,76.7,10.60,65.00,903.70
"Indusind Bank Ltd.",Remitter,25,18,72.0,17.14,74.00,882.52
"HDFC Bank Ltd.",Remitter,23,11,47.8,2.50,9.00,854.86
"Fino Payments Bank Ltd.",Remitter,22,15,68.2,15.33,77.00,807.37
"Airtel Payments Bank",Remitter,5,5,100.0,32.21,72.00,632.77
"Karnataka Bank",Remitter,29,23,79.3,16.67,82.00,606.75
"India Post Payments Bank Ltd",Remitter,4,4,100.0,34.10,74.00,487.87
"Karur Vysya Bank",Remitter,30,23,76.7,19.35,59.00,485.59
"Yes Bank Ltd.",Remitter,25,18,72.0,12.11,40.00,483.76
"Federal Bank Ltd.",Remitter,24,17,70.8,7.53,59.00,467.78
"INDUSIND BANK",Remitter,5,5,100.0,67.00,97.00,461.60
"Axis Bank Ltd.",Remitter,30,9,30.0,2.18,30.00,437.68
"Bandhan Bank limited",Remitter,24,19,79.2,19.27,93.00,432.91
"AU small Finance Bank",Remitter,30,23,76.7,19.61,95.00,424.88
"Punjab and Sind Bank",Remitter,29,23,79.3,24.92,86.00,376.33
"ICICI Bank",Remitter,5,5,100.0,11.80,29.00,333.98
"Tamilnad Mercantile Bank Limited",Remitter,23,17,73.9,25.84,83.00,324.78
"JIO Payments Bank Ltd",Remitter,21,18,85.7,19.81,83.00,307.19
"Ujjivan Small Finance Bank Limited",Remitter,24,18,75.0,23.66,75.00,303.03
"IDBI Bank",Remitter,4,4,100.0,46.50,55.00,302.49
"Kerala Gramin Bank",Remitter,30,29,96.7,21.88,96.00,300.91
"India Post Payment Bank",Remitter,5,5,100.0,17.22,70.00,267.86
"Fino Payments Bank Limited",Remitter,7,7,100.0,27.50,51.00,262.08
"Airtel Payments Bank Ltd",Remitter,4,4,100.0,14.25,27.00,251.50
"City Union Bank",Remitter,29,22,75.9,17.97,58.00,249.74
"Federal Bank",Remitter,6,6,100.0,20.33,47.00,245.74
"The Jammu & Kashmir Bank Limited",Remitter,24,22,91.7,9.38,50.00,228.02
"Saraswat Co-operative Bank",Remitter,24,17,70.8,28.22,100.00,210.11
"IDFC Bank Ltd.",Remitter,22,15,68.2,7.43,44.00,195.42
"NSDL Payments Bank Limited",Remitter,23,20,87.0,12.87,87.00,190.33
"The South Indian Bank Limited",Remitter,24,17,70.8,9.56,39.00,175.40
"Rajasthan Marudhara Gramin Bank",Remitter,27,25,92.6,16.09,99.00,165.19
"RBL Bank Ltd.",Remitter,21,14,66.7,27.17,84.00,155.85
"Slice Small Finance Bank Limited",Remitter,11,10,90.9,19.00,54.00,123.99
"Sarva Haryana Gramin Bank",Remitter,28,26,92.9,19.70,100.00,119.67
"ESAF Small Finance Bank Ltd",Remitter,21,16,76.2,15.84,69.00,118.12
"IDBI Bank Limited",Remitter,5,5,100.0,15.20,51.00,114.96
"Yes Bank Ltd",Remitter,5,5,100.0,21.80,53.00,111.59
"DBS Bank India Limited",Remitter,30,22,73.3,9.34,44.00,80.40
"Chaitanya Godavari Grameena Bank",Remitter,6,6,100.0,26.97,80.00,75.75
"Equitas Small Finance Bank Ltd",Remitter,4,4,100.0,55.00,77.00,72.38
"Ujjivan Small Finance Bank",Remitter,5,5,100.0,34.32,63.00,71.68
"Maharashtra Gramin Bank",Remitter,30,29,96.7,7.46,83.00,70.21
"Equitas Small Finance Bank",Remitter,21,13,61.9,10.41,45.00,66.31
"Tamilnad Mercantile Bank",Remitter,5,5,100.0,36.95,59.00,64.69
"Saraswat Bank",Remitter,5,5,100.0,54.00,87.00,61.19
