bank_name,month_year,current_td_pct,prev_month_td_pct,td_spike_diff,total_volume_mn
"Sarva Haryana Gramin Bank",2025-10,100.00,3.51,96.49,27.74
"Andhra Pradesh Grameena Vikas Bank",2024-02,96.00,1.51,94.49,26.19
"Rajasthan Marudhara Gramin Bank",2024-04,99.00,4.78,94.22,24.19
"Sarva Haryana Gramin Bank",2024-07,96.00,2.32,93.68,20.25
"Bank of Baroda",2024-05,95.00,1.59,93.41,930.35
"AU Small Finance Bank",2025-11,95.00,1.81,93.19,79.93
"Kerala Gramin Bank",2024-03,96.00,2.88,93.12,27.13
"Bandhan Bank",2024-03,97.00,4.04,92.96,54.03
"India Post Payments Bank Limited",2025-08,93.00,0.12,92.88,674.59
"Andhra Pradesh Grameena Bank",2025-12,93.00,1.56,91.44,39.67
"Central Bank Of India",2024-10,92.00,1.45,90.55,241.37
"Andhra Pradesh Grameena Vikas Bank - IMPS",2024-08,91.00,3.38,87.62,28.61
"Punjab and Sind Bank",2025-08,86.00,0.87,85.13,59.04
"Kerala Gramin Bank",2024-10,85.00,2.15,82.85,38.22
"IDBI Bank Ltd.",2025-08,83.00,0.22,82.78,206.69
"Bandhan Bank Limited",2024-10,84.00,1.67,82.33,74.83
"Bank of India",2024-02,90.00,8.00,82.00,389.19
"AU small Finance Bank",2024-05,83.00,1.05,81.95,47.67
"JIO Payments Bank Ltd",2024-12,83.00,1.24,81.76,33.99
"Maharashtra Gramin Bank",2024-03,83.00,1.75,81.25,25.45
"Punjab National Bank",2024-12,91.00,10.00,81.00,954.15
"UCO Bank",2024-03,91.00,11.00,80.00,171.87
"Jammu and Kashmir Bank",2024-03,80.00,1.30,78.70,52.39
"Punjab and Sind Bank",2025-11,83.00,4.98,78.02,59.84
"Kerala Gramin Bank",2025-11,78.00,2.08,75.92,52.13
"State Bank Of India",2024-02,94.00,19.00,75.00,3135.27
"Union Bank of India",2025-08,75.00,0.20,74.80,1233.20
"Maharashtra Gramin Bank",2025-11,76.00,1.49,74.51,37.47
"Kerala Gramin Bank",2024-06,74.00,1.37,72.63,29.43
"India Post Payments Bank Limited",2025-10,74.00,1.44,72.56,712.41
"India Post Payments Bank Ltd",2024-08,74.00,2.38,71.62,349.66
"Punjab and Sind Bank",2026-01,71.00,1.41,69.59,63.67
"Telangana Grameena Bank",2025-12,71.00,1.57,69.43,47.72
"HDFC BANK LTD",2024-02,69.00,0.00,69.00,1049.59
"India Post Payment Bank",2024-05,70.00,1.16,68.84,317.28
"JIO PAYMENTS BANK LTD",2026-01,71.00,2.75,68.25,90.12
"Central Bank of India",2026-06,68.00,1.54,66.46,427.37
"JIO Payments Bank Ltd",2025-09,70.00,3.55,66.45,63.71
"Rajasthan Marudhara Gramin Bank",2026-03,68.00,1.86,66.14,64.16
"Idbi Bank Ltd.",2026-05,77.00,11.00,66.00,234.77
"Rajasthan Marudhara Gramin Bank",2026-05,71.00,6.03,64.97,67.91
"Central Bank of India",2025-09,66.00,1.08,64.92,311.91
"AU Small Finance Bank",2025-09,66.00,2.33,63.67,77.16
"Indian Overseas Bank",2025-08,64.00,0.76,63.24,330.15
"Chaitanya Godavari Grameena Bank",2026-05,64.00,1.03,62.97,50.14
"Standard Chartered Bank",2024-11,64.00,1.24,62.76,25.87
"KERALA GRAMIN BANK",2026-06,92.00,30.00,62.00,61.20
