bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"Rajasthan Marudhara Gramin Bank",2024-04,99.00,0.19,98.81,23.95,0.02
"Canara Bank",2024-05,98.00,0.87,97.13,656.92,2.65
"INDUSIND BANK",2024-01,97.00,0.62,96.38,121.86,0.80
"Bank of Maharashtra",2024-01,97.00,0.84,96.16,132.20,0.45
"Bandhan Bank",2024-03,97.00,1.14,95.86,52.41,0.37
"Andhra Pradesh Grameena Vikas Bank",2024-02,96.00,0.40,95.60,25.14,0.05
"Kerala Gramin Bank",2024-03,96.00,0.45,95.55,26.04,0.07
"Andhra Pragathi Grameena Bank",2024-02,96.00,0.98,95.02,14.32,0.08
"Bank of Baroda",2024-05,95.00,0.45,94.55,883.83,1.80
"AU Small Finance Bank",2025-11,95.00,0.80,94.20,75.93,0.29
"State Bank Of India",2024-02,94.00,0.93,93.07,2947.15,12.56
"Andhra Pradesh Grameena Bank",2025-12,93.00,0.55,92.45,36.89,0.11
"Fino Payments Bank Limited FIP",2024-01,93.00,0.62,92.38,107.08,0.28
"Central Bank of India",2025-11,93.00,0.65,92.35,311.08,0.98
"India Post Payments Bank Limited",2025-08,93.00,0.94,92.06,627.37,2.78
"Bandhan Bank Limited",2026-05,93.00,1.07,91.93,94.84,0.65
"Central Bank Of India",2024-10,92.00,0.51,91.49,222.06,0.59
"KERALA GRAMIN BANK",2026-06,92.00,0.65,91.35,56.30,0.22
"Punjab National Bank",2024-12,91.00,0.38,90.62,868.28,1.46
"UCO Bank",2024-03,91.00,0.48,90.52,156.40,0.40
"Fincare Small Finance Bank Ltd",2024-01,92.00,1.57,90.43,16.11,0.13
"Bank of India",2024-02,90.00,0.66,89.34,350.27,1.19
"Bandhan Bank Ltd.",2024-06,90.00,0.99,89.01,53.33,0.35
"INDUSIND BANK",2024-04,89.00,0.64,88.36,134.01,0.79
"Central Bank Of India",2026-03,89.00,0.65,88.35,364.46,1.15
"State Bank Of India",2024-04,89.00,0.89,88.11,3187.33,13.46
"NSDL Payments Bank Limited",2026-06,87.00,0.50,86.50,71.14,0.61
"Punjab National Bank",2026-05,87.00,0.75,86.25,1216.11,4.26
"Kotak Mahindra Bank Ltd",2024-06,86.00,0.31,85.69,625.62,0.85
"Punjab and Sind Bank",2025-08,86.00,0.86,85.14,50.77,0.22
"Kerala Gramin Bank",2024-10,85.00,0.47,84.53,32.49,0.10
"Punjab National Bank",2026-06,85.00,1.25,83.75,1178.92,7.01
"RBL Bank Ltd.",2024-07,84.00,0.59,83.41,14.83,0.30
"IDBI Bank Ltd.",2025-08,83.00,0.42,82.58,171.55,0.36
